d = 43, symClass = D, D = 13.867188
[4.936265381485441, 4.936265381485456], 4.936265381485447
1, 0, 1
2, 0, -0.9679958951487789
3, 0, -0.3550838540407887
0, 1, 0.8164086646169264
1, 1, 0.3431976924492725
4, 0, -0.06298394697138258
2, 1, -0.8758542466297884
3, 1, 1.07973387252519
5, 0, -0.6643418528442659
4, 1, 0.07055938998265644
6, 0, 0.3437197131465784
5, 1, 1.710847381337998
-1, 2, -0.676146285439204
0, 2, -0.7902802361229908
1, 2, 0.3908414065947545
7, 0, 1.063888795679122
2, 2, -0.332213957515878
6, 1, -0.4050217569462135
3, 2, -1.316240412717375
8, 0, 1.028964097277169
7, 1, 1.110093216417849
4, 2, 0.8478233154889608
5, 2, -0.2989208359013301
9, 0, -0.8739154565965035
8, 1, 0.7799984303893114
6, 2, -1.045177956460169
-1, 3, 0.7053980974959673
0, 3, -0.2898935351048657
10, 0, 0.6430801865345004
9, 1, -0.3195232606596983
1, 3, 0.6206020437723244
7, 2, 0.4082899316993401
2, 3, 1.509951338676125
3, 3, -0.1218639593349619
11, 0, 0.6665231076731459
10, 1, -0.3334768923273154
8, 2, -0.06830119987059921
4, 3, -1.903766073620555
5, 3, -0.2538638639908878
11, 1, 0.2801895697933888
9, 2, 0.280189569790485
12, 0, 0.02236458264036918
6, 3, 0.3110017014958559
10, 2, -1.656093242363405
12, 1, 1.884812632974717
13, 0, 0.1177846561026824
7, 3, -0.8822153438973477
-2, 4, 0.6545068288172057
-1, 4, 0.03526755001037937
0, 4, -0.05142064004025765
1, 4, -0.3255383252570229
11, 2, -0.7150549958972438
8, 3, -0.7150549958991926
2, 4, -0.3783328772409112
13, 1, 0.1259843769268691
14, 0, -1.02983998711521
3, 4, 1.608009655387552
9, 3, -0.383396064797419
4, 4, -0.02161594526176812
12, 2, 0.3920593981722618
14, 1, -0.3005911563679453
5, 4, -0.3005911563670856
15, 0, 0.2358970655117489
10, 3, -1.30318579464335
6, 4, 1.274115316541282
13, 2, 0.4320756209576711
15, 1, -0.4717428406045054
11, 3, 0.8815040890160134
7, 4, 0.8815040890173671
16, 0, -0.9330490754522097
14, 2, -1.074565676728101
-2, 5, 0.03500498952422328
-1, 5, 0.3732611662205482
8, 4, 0.05516475742238883
0, 5, -0.5423744449370562
12, 3, -0.02505450013248181
1, 5, -1.62667480949987
16, 1, 1.810065394557609
17, 0, 0.7671206613425227
2, 5, -0.2328793386565025
9, 4, 0.1791153289648944
15, 2, 0.3705621735137158
3, 5, 0.3705621735132843
13, 3, 0.4593048204451732
4, 5, 1.57280419255783
10, 4, 0.2893541421266564
17, 1, 0.9331613798564032
18, 0, 0.8459465746959568
5, 5, -0.2280005908947927
16, 2, -0.7550352788406784
14, 3, -1.936085134202929
11, 4, 0.05760529735550833
6, 5, 0.05760529735471352
18, 1, -0.1934503684250173
7, 5, -0.5543195617067378
19, 0, 1.36146734472385
17, 2, 1.113887640941739
12, 4, -0.06800590096673943
15, 3, -0.6074942818411255
8, 5, -1.075275774032841
-3, 6, 0.2400886289275352
-2, 6, -0.6828224628257713
-1, 6, -0.945689497482204
19, 1, -0.945689497481363
0, 6, 0.2806157520145771
13, 4, 0.7372620009135403
20, 0, 0.04184287202955494
9, 5, 0.563076672637031
1, 6, 0.0242158198212495
16, 3, 0.02421581982124224
18, 2, 0.3092972047257754
2, 6, -0.6007402308949492
3, 6, -0.1387814729741429
10, 5, 0.5818666330345962
14, 4, -0.3952229779165732
20, 1, 0.3630906455610676
4, 6, -1.461626697716534
17, 3, -0.8345712536407259
21, 0, -0.3777697338404259
19, 2, -0.2760781386661965
11, 5, 1.396750625970406
5, 6, 1.396750625970604
15, 4, 0.8614734109146069
6, 6, 0.117963812403799
21, 1, -0.5520116859786699
18, 3, 0.1438166864257888
12, 5, 0.9030873880531524
22, 0, -0.645191632249393
20, 2, 0.3228042629009256
7, 6, -1.17297784114377
16, 4, -0.004444108875019704
8, 6, 1.842837744592034
13, 5, 0.09219344935730046
22, 1, 0.3190863108432349
19, 3, 0.3190863108399793
21, 2, -0.06179974135947282
-3, 7, -0.06179974135990446
23, 0, 1.16582523547424
-2, 7, 0.1658252354762843
9, 6, 0.4673757185904106
17, 4, 0.5871588734179397
-1, 7, 0.5871588734155735
0, 7, 0.8685680309796292
14, 5, 1.178179677011741
1, 7, 0.9099506019045601
10, 6, 0.2457391782845068
2, 7, 0.9731075268874443
20, 3, -0.232051844929494
23, 1, -0.09894425618513644
3, 7, -1.356156355980959
22, 2, -0.2712223534199839
18, 4, -0.2712223534227735
15, 5, -0.7173124014522779
24, 0, -0.3653685373298474
11, 6, -0.3306632717630696
4, 7, -0.3306632717827912
5, 7, -1.174309080514048
21, 3, -0.3941761776153589
24, 1, 0.1341358688614124
16, 5, 0.1341358688537943
12, 6, -0.3010483703977584
19, 4, -1.968367404346029
