d = 19, symClass = C, r = 13.23757546954411, D = 16, Y = 0.1081169529074235
max of |f(z) - f(z^*)| for 100 points = 1.246558412049126e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 1.548761119352093e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 2.338407245616736e-15, 
confident_r = 13.2375754
1, 0, 1
2, 0, 0.3281398297628378
0, 1, 1.113379082368773
1, 1, -0.08484520953191521
3, 0, -0.8573249661456623
2, 1, 0.04088989720847939
4, 0, -0.89232425212325
3, 1, -0.9940442309784299
-1, 2, -1.490221700488801e-15
0, 2, 0.3653440225499783
1, 2, 0.7064470055259942
5, 0, 0.5862819873928236
4, 1, -0.8929439747198201
2, 2, -0.0278410926119973
5, 1, -1.00597726830554
3, 2, -0.8170475052414657
6, 0, -0.2813224684424432
-1, 3, 1.085995357643928
4, 2, 0.01341760390899053
0, 3, -0.9545276840990701
6, 1, -0.4677020309178813
7, 0, -1.264522423045749
1, 3, -0.2789198422067644
5, 2, 1.313119067573558
2, 3, 1.222067155109343
7, 1, 0.04768286218722181
3, 3, 0.07273991638960822
8, 0, -0.6209469579477939
6, 2, -0.3261855047300983
4, 3, 0.6101816470495315
-2, 4, 1.475724792024293e-15
8, 1, 1.765047463800454
-1, 4, 1.771986087593228
0, 4, -0.9934951570043408
9, 0, -0.2649939024234038
7, 2, -0.6475247031168592
5, 3, -0.5253711524781449
1, 4, 1.688124954963237
2, 4, 0.2318134001298008
9, 1, 0.09055527697760454
6, 3, -0.03505592974001583
10, 0, 0.1923824715359844
8, 2, -0.2930104838522647
3, 4, -0.2923441633165197
4, 4, 0.07570943814183796
10, 1, 0.529656724579297
7, 3, -1.043429912930231
9, 2, 0.8954635818188844
-2, 5, -0.7267837996962241
11, 0, -2.457712786819744
-1, 5, 1.461056754207125
5, 4, -1.335616185227656
0, 5, -0.4606249812359763
1, 5, 1.290754639399559
8, 3, 0.1263406411961274
11, 1, 0.0411413758624431
2, 5, 1.050150447194752
10, 2, -0.3301012095670533
6, 4, -0.2681058292781103
12, 0, 0.7650118592424322
3, 5, -0.5739847201431153
9, 3, 0.8522189366708379
7, 4, 0.8138134164903623
12, 1, -0.4183409163447914
4, 5, -0.2984636279307223
11, 2, 0.1722528712248935
13, 0, 0.7559135949352732
-3, 6, 3.868496224251195e-14
-2, 6, 0.3563583317800817
10, 3, -1.953955630872003
5, 5, -0.0497432180651133
-1, 6, 2.105479668142775
8, 4, -0.03648704694609512
0, 6, -0.3132185517641578
13, 1, -1.16863411269131
1, 6, 1.087341379840473
12, 2, -0.1534716648051038
6, 5, 0.651655396817537
14, 0, -0.4149401726295238
2, 6, -0.09152470953921306
