d = 19, symClass = C, r = 18.7456983246171, D = 16, Y = 0.127163309513602
max of |f(z) - f(z^*)| for 100 points = 4.065192626967473e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 1.034172747438333e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -2.353672812205332e-12, 
confident_r = 18.745698324
1, 0, 1
2, 0, -0.5082950072714413
0, 1, -1.338617269306001
1, 1, 0.8341395983956511
3, 0, 1.567899228659442
2, 1, 0.8512382568300678
4, 0, -0.7416361855847655
3, 1, 0.9913112513593738
-1, 2, -3.026789589864124e-15
0, 2, 0.6804124746345365
1, 2, 1.253124379397113
5, 0, 1.791896193683106
4, 1, -0.7918961936829341
2, 2, -0.4239889932295609
5, 1, -1.116593671422534
3, 2, 1.11659367142262
6, 0, -0.7969553498329054
-1, 3, -0.4084283964764288
4, 2, -0.4326801559453118
0, 3, -2.098816984015266
6, 1, 1.842698853009481
7, 0, 0.695788869608572
1, 3, 0.3042111303915985
5, 2, -1.139482230886622
2, 3, 1.139482230886415
7, 1, -1.825138534180135
3, 3, 1.307846832919326
8, 0, 0.8852649776143547
6, 2, -0.5038785597171372
4, 3, 1.60102156596662
-2, 4, -2.370847517924585e-14
8, 1, 0.7100515376911196
-1, 4, -0.7100515376911083
0, 4, 0.9927670055647086
9, 0, 1.458307991230639
7, 2, -1.216777069589351
5, 3, -1.326986360326082
1, 4, 1.326986360326057
2, 4, -0.6369568655371914
9, 1, 4.473123562813005e-14
6, 3, 1.334655806289187
10, 0, -0.9108118887965756
8, 2, 0.4025168815248779
3, 4, -0.1753272936315106
4, 4, -0.6186281099965452
10, 1, -1.677453934848227
7, 3, 1.677453934848761
9, 2, 0.8268919690926548
-2, 5, 0.8268919690923847
11, 0, 0.7246065698910471
-1, 5, -0.2753934301091143
5, 4, -0.2785713489454967
0, 5, -1.060045920360344
1, 5, 0.897192596807482
8, 3, -8.702523861057757e-14
11, 1, 0.5013311747016952
2, 5, 0.5575978343923671
10, 2, 0.5675589883343836
6, 4, -0.5675589883345894
12, 0, -1.162810803324968
3, 5, 1.71893465688706
9, 3, 1.554276146367731
7, 4, 1.767718134385432
12, 1, 1.045280666568678
4, 5, -1.045280666569037
11, 2, 0.67158128385643
13, 0, 1.853778610794614
-3, 6, -1.993364195416412e-15
-2, 6, 0.207602114757427
10, 3, -0.660551972967695
5, 5, 1.494691571363296
-1, 6, -0.6605519729676239
8, 4, -0.631309093819225
0, 6, 1.0668181941496
13, 1, 0.8438420615830011
1, 6, 0.8438420615832551
12, 2, -0.9366346268873408
6, 5, 0.5196484357219545
14, 0, -0.3536660085400289
2, 6, -0.1546289987321438
9, 4, 0.3247956314913298
11, 3, 0.9242636080053439
3, 6, 1.964772747871268
7, 5, -1.259957081072929e-13
14, 1, 0.5467293047992008
13, 2, -0.5467293047985246
10, 4, 0.5791931288330908
4, 6, -0.5791931288327549
15, 0, 2.809512659913465
12, 3, -1.241613431254185
8, 5, 0.7525658525360487
-3, 7, 1.024936925254655
5, 6, -2.466668506766925
-2, 7, 2.466668506766704
-1, 7, -0.1667486330208924
14, 2, 0.9277088045011658
15, 1, -0.4072222726555297
11, 4, 0.4072222726556183
0, 7, -0.9313949966505972
9, 5, -0.7436935957868327
6, 6, -0.6647720154443559
13, 3, 1.066707412309265
1, 7, -1.06670741230906
16, 0, 0.2916604173507571
2, 7, -0.5102801393823224
7, 6, 0.552119527701742
12, 4, -0.7351922951840784
15, 2, -0.674092335500927
10, 5, 1.525330592331016
3, 7, -0.6740923355010823
16, 1, -0.1205303053035818
14, 3, -1.876158283590056
17, 0, 0.9826979970709627
4, 7, -0.01730200292931496
8, 6, -0.8137912685133779
13, 4, -0.3406862986109822
11, 5, 0.3406862986104874
-4, 8, 4.616920361746525e-14
5, 7, 2.443161960729796
-3, 8, -2.443161960724799
16, 2, -0.3609156515101009
-2, 8, 0.3609156515106366
17, 1, 0.3353978477679512
-1, 8, -1.792278518334183
15, 3, -1.750706356149495
9, 6, 1.750706356149419
0, 8, -1.185030986946412
6, 7, -1.32125485420668e-13
18, 0, -0.7412506710081729
12, 5, 1.53706808121015
1, 8, 1.53706808121017
14, 4, 0.6184817094332399
10, 6, 0.674500541670085
2, 8, -0.6745005416701561
17, 2, 1.087894148524954
7, 7, -0.2537545501291369
18, 1, -1.119249351968605
16, 3, -0.8119247835867517
3, 8, -0.4658254622231103
13, 5, -0.3463564774239646
19, 0, 1.000000000000091
15, 4, -2.143155116732702
8, 7, 2.143155116732741
11, 6, -1.178782976349859
4, 8, -0.9293623847981156
18, 2, -4.631549466119452e-15
