d = 19, symClass = C, r = 22.46147815535798, D = 16, Y = 0.1423301965147426
max of |f(z) - f(z^*)| for 100 points = 3.962163930282259e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -8.239631199558062e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 7.83484388477973e-13, 
confident_r = 22.46147815535798
1, 0, 1
2, 0, -1.468241077212894
0, 1, 1.86211445285107
1, 1, 0.6315583868466492
3, 0, 1.482618638261287
2, 1, -0.4665891990857053
4, 0, 1.155731860807409
3, 1, -1.232163735789051
-1, 2, -5.067122068701899e-15
0, 2, -2.734032930139515
1, 2, 1.322374867735378
5, 0, 3.467470235506573
4, 1, -2.467470235501889
2, 2, -0.9272799662273457
5, 1, 1.176033999964132
3, 2, -1.176033999965505
6, 0, -2.176841586529857
-1, 3, -0.1984064171312372
4, 2, 0.6850654282744371
0, 3, 2.760805594361789
6, 1, 1.825158801054039
7, 0, 0.3988659959985519
1, 3, 0.6011340040041901
5, 2, -0.8688424911523793
2, 3, 0.8688424911544494
7, 1, 0.2857992294315602
3, 3, 0.9363602354896339
8, 0, -0.228651915065527
6, 2, 1.809113410736937
4, 3, 1.422604136531793
-2, 4, -8.908197245510815e-15
8, 1, -0.2946783218940839
-1, 4, 0.2946783218952938
0, 4, 2.152105001626411
9, 0, 1.198158026511477
7, 2, 0.6050802668036517
5, 3, -2.294429900694297
1, 4, 2.294429900689385
2, 4, -1.941565100280132
9, 1, 2.278530260411596e-12
6, 3, -0.6917738429713949
10, 0, -5.091082233774275
8, 2, 3.622841156562476
3, 4, 0.4849764746177251
4, 4, 0.7299121496378028
10, 1, 2.462413353295036
7, 3, -2.462413353295741
9, 2, -0.7781833413030894
-2, 5, -0.7781833413060796
11, 0, 0.2177054807045753
-1, 5, -0.7822945192969138
5, 4, -2.732597534656439
0, 5, 4.594711987500279
1, 5, 0.0003168674591612667
8, 3, 5.371741666051959e-13
11, 1, 0.2157762135182478
2, 5, -1.12806004496647
10, 2, -1.726701426943078
6, 4, 1.726701426940184
12, 0, 1.71350959766123
3, 5, -1.326982183596424
9, 3, -1.826828920066859
7, 4, 0.1266239658904495
12, 1, 0.8351569382727833
4, 5, -0.8351569382738845
11, 2, 1.09672742531308
13, 0, 1.65573045105448
-3, 6, -8.081249881565442e-15
-2, 6, 0.2913084516118076
10, 3, -1.558351521520021
5, 5, 2.189909908371531
-1, 6, -1.558351521523049
8, 4, -0.539252003284526
0, 6, -4.053528179836068
13, 1, 0.5749142906148974
1, 6, 0.5749142906170048
12, 2, -2.679773124136164
6, 5, -1.106552567872908
14, 0, -0.5856314396270063
2, 6, -0.8826096375886444
9, 4, 0.3792588028595033
11, 3, 0.2781639252553
3, 6, 1.960577625669165
7, 5, 4.386812720546456e-13
14, 1, -0.3694554568744429
13, 2, 0.369455456878327
10, 4, 1.275670235137029
4, 6, -1.275670235137466
15, 0, 5.140935998763017
12, 3, -3.658317360503436
8, 5, -0.7944351861498521
-3, 7, -0.6494418983331824
5, 6, 3.398654582183799
-2, 7, -3.398654582183654
-1, 7, -0.8263185822493562
14, 2, -0.4196221684878746
15, 1, 1.119380316951406
11, 4, -1.119380316956523
0, 7, 0.7427341358952357
9, 5, 0.5975146545158589
6, 6, -1.374802560809981
13, 3, -0.6170058304230037
1, 7, 0.6170058304182287
16, 0, -0.8200157267199863
2, 7, -0.9515921843048549
7, 6, -0.05050343134447862
12, 4, -1.424050887188286
15, 2, 1.151294960938595
10, 5, -1.617884160024321
3, 7, 1.151294960940461
16, 1, -0.192408569648985
14, 3, -0.02511292998351158
17, 0, 1.518227471808213
4, 7, 0.5182274717986232
8, 6, -2.088725829863848
13, 4, -0.1253052367423374
11, 5, 0.1253052367422158
-4, 8, 5.134918159012585e-15
5, 7, 0.5321908757376224
-3, 8, -0.5321908757370922
16, 2, 0.4326588167663606
-2, 8, -0.4326588167662162
17, 1, -0.02452730309846063
-1, 8, -0.9827998747102619
15, 3, 1.743609927570765
9, 6, -1.743609927569444
0, 8, -0.4257760357219843
6, 7, -1.537841676540174e-12
18, 0, -1.759184831509661
12, 5, 1.152694348129542
1, 8, 1.152694348132391
14, 4, -0.8884037027299402
10, 6, 3.368776228968481
2, 8, -3.368776228978234
17, 2, 1.011209608697416
7, 7, -0.3796512218590822
18, 1, -0.4245209033701284
16, 3, -0.5535597413059798
3, 8, -1.192257142880957
13, 5, 0.9312486274269425
19, 0, 1.00000000000429
15, 4, 2.649051723312958
8, 7, -2.64905172331214
11, 6, -1.025386885105818
4, 8, 1.528310766574265
18, 2, 6.561552322626234e-14
19, 1, 0.5487247621350582
17, 3, -0.5487247621359692
5, 8, -0.5487247621358383
-4, 9, 0.548724762133922
-3, 9, -0.2941610519857409
9, 7, -0.5889072376232066
14, 5, -1.62938235714714
-2, 9, 1.629382357146858
12, 6, 1.015690772388113
-1, 9, -1.729314997704521
20, 0, 4.007465827574564
16, 4, -2.851733966768742
6, 8, -0.7120623815154854
0, 9, 2.231107377956306
10, 7, 1.126728709945653
1, 9, -1.126728709945882
19, 2, -0.8727774798790175
18, 3, 2.706014456220279
20, 1, 3.040327343340653
15, 5, -4.272491079124184
7, 8, 3.040327343328753
13, 6, 0.1804989002991549
2, 9, 0.1804989002985168
17, 4, -7.09578925648443e-13
21, 0, 0.5913661598332143
3, 9, 0.8912524784269489
11, 7, 1.357550105639487
8, 8, -0.1444070346240838
4, 9, 1.416873632826908
20, 2, -3.61541643437269
14, 6, 3.615416434377158
16, 5, 1.145905529832955
19, 3, -0.03923751336871642
21, 1, 0.9104294223180722
12, 7, 0.09257429125539648
9, 8, -0.09257429125844867
5, 9, -1.177659911091199e-13
-5, 10, 2.410736031943857e-14
18, 4, 1.142560747307252
-4, 10, 1.142560747305806
-3, 10, -1.943910149025934
22, 0, -0.3196441294996818
-2, 10, 1.148596947713407
-1, 10, 1.313341376349299
15, 6, -1.288162071094324
6, 9, 1.288162071094155
17, 5, -1.011345432880316
10, 8, 4.012111947860844
0, 10, -6.746144878003538
21, 2, 0.6759928268930886
20, 3, 0.9030817026788981
13, 7, -0.9030817026805336
22, 1, 0.8984575735888619
1, 10, -0.8984575735878297
19, 4, -0.8515993831784416
7, 9, -0.8515993831770389
2, 10, -0.0004652378167469808
23, 0, 1.748675290820256
11, 8, -0.7486752908193945
16, 6, -4.642044252518692e-13
18, 5, -0.2804826334674742
14, 7, -0.1861065656191981
3, 10, 0.2804826334658219
8, 9, -1.331096303701135
22, 2, -0.316811500171903
21, 3, 0.4237312643565475
4, 10, 1.65626409558072
23, 1, 0.4164094530582667
20, 4, 1.359179963149389
12, 8, -1.359179963148567
9, 9, 0.7567067504127432
17, 6, 0.4590917511320977
5, 10, 4.585295494054764
-5, 11, 3.26292062631883
15, 7, -3.262920626318342
24, 0, -0.3390035909551918
-4, 11, 1.510528079165816
19, 5, 0.3821435172180852
-3, 11, 0.3821435172179904
-2, 11, 0.4857748456641522
13, 8, 0.1493002445096426
23, 2, -1.449066446813833
22, 3, 1.449066446807004
10, 9, -1.449066446809854
-1, 11, 1.449066446815513
6, 10, 1.948329750681053
24, 1, -1.456721930771963
21, 4, 1.456721930772563
0, 11, 0.4053925220772788
18, 6, 2.682225261481657
16, 7, -1.362936023036335
1, 11, -0.312725199821314
7, 10, -0.6011228847019313
25, 0, 6.088409363106638
20, 5, -5.088409363090153
11, 9, 2.620939127582088
14, 8, -0.185914508089398
2, 11, 1.230375872728652
23, 3, -0.3739351662633655
24, 2, -1.226211722688807
8, 10, 1.226211722692663
3, 11, -0.0293887067066986
22, 4, -1.610260256345992
17, 7, -1.461336120571137
25, 1, 0.0005900434751964701
19, 6, -0.0005900434737341586
12, 9, 2.109179407685063
15, 8, 7.473506581494051e-13
4, 11, -1.79392316297985e-13
21, 5, -0.133350833560369
9, 10, -0.1333508335618724
26, 0, -2.431011461024245
-6, 12, 1.195084379518885e-15
5, 11, 0.4018000057730587
-5, 12, 0.4018000057688114
-4, 12, -0.2293046176675133
13, 9, -0.7725456213233798
24, 3, -0.4368955723312505
-3, 12, 0.4368955723320277
25, 2, -2.100576913411369
18, 7, 2.100576913415507
20, 6, 2.288035716637938
10, 10, -3.215315682860492
-2, 12, 2.288035716634973
23, 4, -0.4487249908528192
16, 8, 0.1066865139174522
26, 1, 0.306290959967964
6, 11, -0.3062909599662826
-1, 12, 1.015308980065393
22, 5, -1.511840556726489
0, 12, 3.190750986898405
14, 9, 1.086743673773777
27, 0, 0.293792783419906
11, 10, 0.2444691921373929
7, 11, -0.2444691921429012
1, 12, 1.410303274965263
19, 7, -0.3079179886644774
25, 3, -2.470992702741651
17, 8, 2.470992702744384
21, 6, 0.8971032812051535
26, 2, -0.8441127773618714
2, 12, -0.8441127773607554
24, 4, 2.109394177412302
8, 11, -1.020000327174632
27, 1, 0.4551162908788222
12, 10, 1.624685934240121
15, 9, -3.401764534939892
3, 12, 3.401764534941263
23, 5, -0.8587249270588001
28, 0, 0.4609821397637696
4, 12, 0.6947497210453484
20, 7, 0.2357883169633981
9, 11, -0.2357883169608649
18, 8, -0.5568433532481593
22, 6, -0.408411701259488
26, 3, -2.248894486721943
13, 10, -2.248894486719557
27, 2, -0.663771724678334
-6, 13, 0.6637717246785265
25, 4, -1.555157805152771
16, 9, 1.555157805153978
5, 12, 1.555157805153968
-5, 13, 1.555157805154193
-4, 13, 1.346410845699914
10, 11, 2.042231989505642
-3, 13, -2.042231989504193
28, 1, 1.658100610565846e-12
24, 5, 0.03893964528606911
-2, 13, -1.941601729746403
6, 12, -2.878600605065821
21, 7, -0.4914682157017933
19, 8, -0.740695520083931
-1, 13, 0.7406955200908046
14, 10, -1.545500696111797e-12
29, 0, 0.3856600844858248
0, 13, 3.083159602924588
23, 6, -0.4940646646453358
11, 11, 0.1374937222000306
17, 9, 0.4940646646458585
7, 12, -0.4508396318652383
27, 3, 1.492343944770311e-12
1, 13, -1.178272797239652
28, 2, 0.5424496779880112
26, 4, -0.5424496779858236
29, 1, -1.725794890841696
25, 5, 2.901828890827421
15, 10, -2.901828890888639
2, 13, 1.725794890785169
20, 8, -1.004148949045765
8, 12, 1.004148949056067
12, 11, 0.9514863351264677
22, 7, -0.006008923367223345
18, 9, -0.5590475939610177
3, 13, 1.54283009425067e-12
30, 0, -7.548133408693616
24, 6, 5.371291822162122
9, 12, 0.719035160382497
28, 3, -0.2823239170695683
4, 13, -0.2823239170679691
16, 10, 1.166422373481715
27, 4, 0.000200120302785017
13, 11, -0.0002001203031339805
29, 2, 0.4653283419910447
21, 8, 0.1551710618723858
26, 5, -1.47868003879017e-12
-7, 14, 1.862899308568393e-14
-6, 14, 0.9535372723888175
30, 1, 1.070556209707505
23, 7, -1.070556209711062
5, 13, 1.070556209712597
-5, 14, 1.070556209710161
19, 9, 1.175538479883462
10, 12, -4.990044264811493
-4, 14, 4.990044264814456
-3, 14, 0.6912638829185105
25, 6, -2.060527529468967
14, 11, 2.060527529467552
-2, 14, 1.213234885324389
17, 10, 0.1362752773288178
6, 13, 0.1362752773296352
31, 0, 1.74613852969316
-1, 14, -0.7206244071742133
29, 3, -0.712435782259915
11, 12, 0.7124357822608403
28, 4, 0.3303072752459104
30, 2, -1.643520162376497
22, 8, 1.643520162374921
0, 14, -1.090512767763419
20, 9, 0.7062232981680715
7, 13, -0.7062232981691215
27, 5, -0.2623676596133307
24, 7, 0.2623676596126528
15, 11, 0.5179730654852797
1, 14, -0.5179730654775522
31, 1, -1.230264146340688
18, 10, -0.8772955599978488
12, 12, 1.082181357341466
26, 6, 0.905913305103728
2, 14, -0.9059133051031182
8, 13, -0.8871816783581604
32, 0, 1.432632688997173
3, 14, -1.352388480191616
23, 8, -0.5207477245926277
30, 3, 3.650819932688606
21, 9, -3.650819932689696
29, 4, -0.3521514462194295
16, 11, -0.3521514462196339
31, 2, -0.8380667272462697
9, 13, 0.8380667272455997
25, 7, -3.278366393450829e-13
13, 12, 4.915237319239386e-13
28, 5, 0.7452325090747245
19, 10, 1.780728924685875
4, 14, 1.397166733753575
32, 1, 1.060960370467417
-7, 15, 1.762548820428414
27, 6, -1.153749125800727
-6, 15, -1.153749125797866
-5, 15, -0.6879683459358942
10, 13, 0.4895619288054153
5, 14, -0.4895619288112842
17, 11, 2.413544128142064
-4, 15, 2.413544128140916
14, 12, 0.07415121243963331
22, 9, 0.04408498414418745
24, 8, 0.2817365978679286
33, 0, 0.322774203342116
-3, 15, -1.15984443491796
31, 3, 0.0799704276320027
-2, 15, -0.07997042763291466
30, 4, -1.690378553637588
20, 10, 2.375443981913698
6, 14, -1.690378553637399
26, 7, 1.05618148743728
32, 2, 0.2825021655689672
11, 13, 0.6101218308124059
29, 5, -0.2262847848618601
-1, 15, 0.226284784861128
0, 15, 6.812205630096878
15, 12, -4.051400035732817
33, 1, 0.7949244990371751
18, 11, -0.7949244990364497
7, 14, 0.527450368700714
28, 6, 0.03687183537510784
23, 9, 0.6926474035429554
1, 15, 0.6926474035396843
25, 8, -1.479329241974894
12, 13, 1.479329241973913
21, 10, 0.2270058020969615
34, 0, -2.229123938643084
8, 14, -0.7608828614376184
2, 15, 3.11127586923559e-13
27, 7, 0.776215236141961
32, 3, -1.209335145166655
31, 4, 1.209335145161884
16, 12, 1.644148925902918
33, 2, -4.503525016670873
30, 5, 6.328683817725214
19, 11, -4.503525016669695
3, 15, 0.0004697935973117592
13, 13, 1.045690452715963
9, 14, -1.545354182625557
34, 1, -1.538699774669497
29, 6, 1.538699774668381
24, 9, 3.057262237210202e-12
4, 15, -1.482206375130507
26, 8, 0.1839782957704666
22, 10, -0.183978295774456
17, 12, 0.3247110669335156
-8, 16, -3.186290156983686e-14
-7, 16, 0.08067401536018207
10, 14, -0.7813845046658968
-6, 16, 0.7813845046679924
14, 13, -0.2688127847143982
35, 0, 1.383055969073852
28, 7, -0.9841899730725554
20, 11, -1.48328026243378
5, 15, 2.08441426643811
-5, 16, 1.483280262437171
32, 4, -0.3405691253075454
-4, 16, 0.3405691253042364
33, 3, 0.3199138358739617
31, 5, -1.752881227409375
-3, 16, -1.752881227413946
34, 2, 0.03601199391050446
6, 15, -1.6724828477391
-2, 16, 1.442987146723368
25, 9, 1.112640673963668
11, 14, -1.112640673964507
23, 10, -0.6707115437005569
30, 6, -2.560039718286366
18, 12, 2.560039718292279
35, 1, 1.148935474323372
