d = 19, symClass = C, r = 24.62833458569262, D = 16, Y = 0.1400295364631172
max of |f(z) - f(z^*)| for 100 points = 1.002731231380949e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -3.498312750593868e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.633759959598137e-13, 
confident_r = 24.628334585
1, 0, 1
2, 0, 1.278789863036017
0, 1, 0.5856985178320684
1, 1, -0.5625131614418405
3, 0, -0.6421974331331511
2, 1, -0.484275497812319
4, 0, 0.6353035138033122
3, 1, 0.2540111489320517
-1, 2, -2.831921678350512e-15
0, 2, 0.7489853273992187
1, 2, 0.5561433988846558
5, 0, -0.6937109460234481
4, 1, -0.3797964536048498
2, 2, -0.7193361286758048
5, 1, -0.796333956149932
3, 2, -0.1374077063145112
6, 0, -0.8212355675581118
-1, 3, -0.5147889349466507
4, 2, -0.6192865975192988
0, 3, -0.3761340847413905
6, 1, -0.3631516849396697
7, 0, 0.1061798267956208
1, 3, 0.4733377132056845
5, 2, 0.317578237546132
2, 3, 0.8848571201289638
7, 1, -0.2399327476687678
3, 3, 0.3612445083820641
8, 0, -0.4663701696332515
6, 2, 0.3248268823527506
4, 3, -0.2149288089535112
-2, 4, -1.217627744299016e-14
8, 1, 0.5431516314030957
-1, 4, -0.001671051163936839
0, 4, 0.3720963264079923
9, 0, -0.5875824568786454
7, 2, -0.7612252085698031
5, 3, 1.257811608952383
1, 4, 0.9602637020671894
2, 4, 0.7111905408878505
9, 1, 0.414211234106142
6, 3, 0.3110004816243546
10, 0, -0.8871105256508093
8, 2, -0.4856798548867775
3, 4, 0.4223842801783602
4, 4, -0.3573665880243383
10, 1, -0.397863482298798
7, 3, -1.049328211156592
9, 2, 0.3565371211191518
-2, 5, -0.6423063499743344
11, 0, -0.1141258145947885
-1, 5, -0.4168286698416364
5, 4, -0.8511979127982963
0, 5, -0.9920039907219684
1, 5, -0.1380613606529352
8, 3, 0.1865275650409566
11, 1, 0.2344950858067071
2, 5, -0.4258941025683566
10, 2, -1.018343790716053
6, 4, -0.1757155819380973
12, 0, -0.4079902858248831
3, 5, 0.9412219478292454
9, 3, -0.1631253078311264
7, 4, -0.06552738719057727
12, 1, -0.6386875970068674
4, 5, -0.0130116339644951
11, 2, -1.080167248357257
13, 0, -0.8674633094126663
-3, 6, 2.139793108137512e-14
-2, 6, -0.6583068716137948
10, 3, -0.33325060392184
5, 5, 0.3902215373740704
-1, 6, 0.7605316115645575
8, 4, -0.307661925409448
0, 6, -0.4809964547096438
13, 1, -0.7661468137540932
1, 6, 0.5201240625557437
12, 2, -0.4643946934445122
6, 5, -0.737893455211556
14, 0, 0.1357816861648745
2, 6, 0.6052994694399768
9, 4, -0.2176901057111979
11, 3, 0.3164148688826038
3, 6, -0.3571538632174507
7, 5, -0.2402027759943515
14, 1, 0.06942717587166895
13, 2, 0.6724494082606983
10, 4, 0.4061158308943545
4, 6, 1.131546315455614
15, 0, 0.445499388873566
12, 3, 0.2439043076163722
8, 5, 0.6450048412803536
-3, 7, -0.05206920154439976
5, 6, -0.4666516722993309
-2, 7, -0.04125686506542008
-1, 7, 0.4435255011617406
14, 2, -0.3068235655289422
15, 1, 0.8024751715812831
11, 4, 0.2480087774637414
0, 7, 0.0621893671778199
9, 5, -0.8306060293900528
6, 6, 0.4619558153960392
13, 3, 0.1502895473351335
1, 7, 0.6889427900353676
16, 0, -1.231692959152451
2, 7, 0.9489490479323598
7, 6, -1.069883318280874
12, 4, 0.1613741754618996
15, 2, 0.8881907234159339
10, 5, 0.3359472137236096
3, 7, -0.5203384901421257
16, 1, 0.1809501868969174
14, 3, -1.493134725708114
17, 0, -1.121839688543135
4, 7, 0.2508830161058464
8, 6, -0.2748487821647458
13, 4, 0.4566164490123013
11, 5, -0.1225346535314264
-4, 8, 8.662709311059255e-15
5, 7, -0.7472909955935064
-3, 8, -0.4662344862153135
16, 2, 0.6945768003299065
-2, 8, -0.002136923288615428
17, 1, 0.3656875572706834
-1, 8, 0.1040602848337729
15, 3, 0.5114036225570575
9, 6, 0.08824287628785545
0, 8, -0.2731523171152078
6, 7, -0.4430906357417121
18, 0, -0.7513944895530553
12, 5, 0.08991693934348481
1, 8, 0.3186382654128406
14, 4, -0.9734470802059818
10, 6, 1.608476735136946
2, 8, 1.227975488044381
17, 2, -0.5922449370220086
7, 7, 0.5027856113896468
18, 1, 0.644157380971169
16, 3, -1.404221971150078
3, 8, -0.1308571875121896
13, 5, 0.5323449490200181
19, 0, 0.8345113728647041
15, 4, -0.2222383906056039
8, 7, 0.02952857908228809
11, 6, -0.7154830827628798
4, 8, 0.3533198554896627
18, 2, 0.5296891273309713
19, 1, -0.1130774852188806
17, 3, -0.1111200208381167
5, 8, 0.8824100669170127
-4, 9, 0.2461638559755486
-3, 9, 0.330596132628157
9, 7, -0.217867179259481
14, 5, 0.9153126112453841
-2, 9, 0.6327793638010983
12, 6, 0.3977042633013734
-1, 9, 1.136860896714063
20, 0, -0.4407170015722924
16, 4, -0.2412860215054576
6, 8, 0.5401407357975448
0, 9, -0.3441461740978617
10, 7, -0.8664973373380886
1, 9, 0.02519961545309449
19, 2, 0.1994875423195369
18, 3, 0.2332150799054504
20, 1, 1.202650888564404
15, 5, -0.1762103144265506
7, 8, -1.395595955645225
13, 6, -0.1382720135374388
2, 9, 0.4082026703868931
17, 4, 0.2890961746462041
21, 0, -0.06818841221782226
3, 9, -0.3039762644259393
11, 7, 0.4222156710669877
8, 8, 0.262339358522685
4, 9, 0.1182187863190034
20, 2, -0.5087837880358137
14, 6, -1.341870279424974
16, 5, 0.09047504796351447
19, 3, -0.2327107917412419
