d = 19, symClass = D, r = 11.31599314417971, D = 16, Y = 0.09487368561553881
max of |f(z) - f(z^*)| for 100 points = 3.830491479561715e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 8.344713808838833e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 1.135203042679223e-13, 
confident_r = 11.315993144179
1, 0, 1
2, 0, 0.2778621106661261
0, 1, 0.4175006505131081
1, 1, 1.146016104556754
3, 0, -0.4833540787413626
2, 1, 0.3803755683662869
4, 0, -0.9227926474563484
3, 1, 0.3460736012713495
-1, 2, 0.3433024520885252
0, 2, 0.1160076119559695
1, 2, 1.381651346993742
5, 0, -2.185331148876428
4, 1, 1.533944735233695
2, 2, 0.3184344536693981
5, 1, -0.0895302277658247
3, 2, 1.046455166067186
6, 0, -0.1343057845181812
-1, 3, 0.08853640139651625
4, 2, 0.1056919582720731
0, 3, -0.2018006423025517
6, 1, 0.5140818598052895
7, 0, 1.176630367312484
1, 3, 0.4500754564936104
5, 2, -0.8493548554918957
2, 3, 1.166968949956184
7, 1, -0.9504900325520994
3, 3, -0.5539315584406204
8, 0, -0.5342712233959511
6, 2, 0.09616074129435809
4, 3, 0.36511145972815
-2, 4, 0.09539074393427315
8, 1, 0.1932400606024639
-1, 4, 0.6785929936526982
0, 4, -0.3852665306016507
9, 0, -0.7663688345642966
7, 2, -1.085723482170319
5, 3, 0.3252716785245846
1, 4, -0.03629977121210983
2, 4, 0.3839085594803029
9, 1, 0.1433289970699116
6, 3, -0.1838560824233254
10, 0, -0.6072207255311041
8, 2, 0.4262251217769889
3, 4, 0.6013991317147994
4, 4, -1.05753523515154
10, 1, 1.4769894681513
7, 3, -0.3233087958481801
9, 2, 0.4401231777121377
-2, 5, 0.3530886631350645
11, 0, -0.286054416372125
-1, 5, -0.4245744376102907
5, 4, 2.193223025863892
0, 5, -1.329877826754597
1, 5, 0.1764052043128603
8, 3, 0.3934301388270514
11, 1, -0.5602398843451264
2, 5, -0.6151066692205018
10, 2, -0.02487705805550629
6, 4, 0.2907702411608525
12, 0, 0.4460355899804481
3, 5, 0.1916586657570208
9, 3, -0.1672760867191669
7, 4, 0.1880564280518377
12, 1, 1.800071212573537
4, 5, 1.366718176500348
11, 2, -0.2372058220037983
13, 0, -0.3978822184201217
-3, 6, -0.1659366404589779
-2, 6, 0.02460091136279938
10, 3, 2.232200010975811
5, 5, -2.504424690401299
-1, 6, 1.283650729178987
8, 4, -0.3510077777603489
0, 6, -0.0560727524039745
13, 1, 0.2088791487805552
1, 6, 0.05439673677976391
12, 2, 0.1428438706206213
6, 5, -0.8858299932808834
14, 0, 0.3269409973353701
2, 6, 0.125058916300388
9, 4, -0.2462729715348561
11, 3, 0.2951103627162701
3, 6, -0.6678268139677647
7, 5, 0.1305838653351325
14, 1, 1.244089258273201
13, 2, -1.170161247916113
10, 4, -0.2360035328510626
4, 6, 0.3242564555175077
15, 0, 1.056288724209326
12, 3, -0.7414384443388028
8, 5, -0.932999158129195
-3, 7, -0.3303297460784241
5, 6, 0.1392003056148891
-2, 7, 0.2900587161562296
-1, 7, 0.01868474878038641
14, 2, -0.2641051666120257
15, 1, 1.489764351739365
11, 4, -1.113950760007515
0, 7, 0.4912439437662375
9, 5, 0.7133527728592349
6, 6, -0.1539165919929113
13, 3, 0.9101376477369969
1, 7, 0.140955185056354
16, 0, 0.7743389176555834
2, 7, 0.2299198424537654
7, 6, 1.139026604355807
12, 4, -0.3193541747319265
15, 2, 1.425291600926059
10, 5, -0.8312465778223957
3, 7, -0.2583413999123415
16, 1, 0.07805732055744903
14, 3, 1.545018456232458
17, 0, 0.1059158810555565
4, 7, -0.8663820060621263
8, 6, 0.1014506408285199
13, 4, 0.3920334346123209
11, 5, -0.1891051509326128
-4, 8, -0.3167969786410387
5, 7, 0.5972518523624026
-3, 8, -1.390912266155911
16, 2, 0.05369409110417888
-2, 8, 0.1885552814995372
17, 1, 0.4488372714705176
-1, 8, 0.5475117964701068
15, 3, 0.0432748007611925
9, 6, -0.5058083727383988
0, 8, -0.2230585833178458
6, 7, 0.1188079159195651
18, 0, -0.2129448619208359
12, 5, 0.5709893906068092
1, 8, 0.6073027901876956
14, 4, -0.3016814183555154
10, 6, 0.09038067513468755
2, 8, -0.01008633104574802
17, 2, -0.3168499072359711
7, 7, 0.2024212454934491
18, 1, 0.4941278958146605
16, 3, -0.5141291481845767
3, 8, 0.08146945633642072
13, 5, 0.1316361464593601
19, 0, -0.8821434263904738
15, 4, -1.387523973746058
8, 7, 1.692392517638354
11, 6, -1.097239221548391
4, 8, -1.274977704354035
18, 2, 0.03982569764539378
19, 1, 1.654733337723679
17, 3, -1.088107305155392
5, 8, 1.019997082610993
-4, 9, -0.8586413805971039
-3, 9, -0.04279443073176047
9, 7, 1.50767524746452
14, 5, 0.409187344262634
-2, 9, 0.5471187704498016
12, 6, -0.05108663912248626
-1, 9, 0.7841655949855674
20, 0, 2.016607516440499
16, 4, -1.415512923277474
6, 8, 0.1671060320912889
0, 9, -0.3199594869633571
10, 7, -1.53769734470868
1, 9, 0.6311168245422943
19, 2, -0.2984511732662415
18, 3, -0.2484835637437261
20, 1, 0.3799014632016159
15, 5, -0.7562854206621702
7, 8, 0.6818140941457032
13, 6, -0.8499896024673196
2, 9, -1.328564166582972
17, 4, 0.4743242953544531
21, 0, -0.5687290872113809
3, 9, -0.2175458076375142
11, 7, -0.8135177654830695
8, 8, -0.6122834262123844
4, 9, 0.4385244368497923
20, 2, 0.4103994110520486
14, 6, -0.08983526441121678
16, 5, -0.2149324193066498
19, 3, -0.7714909896564027
21, 1, -0.2770906907628503
12, 7, 0.5494247206618876
9, 8, -0.4820705526573842
5, 9, 0.526606988974075
-5, 10, -0.7502295420347729
18, 4, 0.1222935551108507
-4, 10, 0.09810996118962505
-3, 10, 0.7432324953336372
22, 0, -0.07948368389839183
-2, 10, -0.1179731493690845
-1, 10, -0.3510264948897456
15, 6, 0.4105391337005956
6, 9, -0.5640592017256316
17, 5, 0.7290110971947809
10, 8, 0.6094135791279774
0, 10, -0.369522659870158
21, 2, 0.972905392420486
20, 3, -0.636952013705922
13, 7, 1.139121071123598
22, 1, 0.04773749121141324
1, 10, 0.7891097344020379
19, 4, 0.1633168409362062
7, 9, 0.2277715182842072
2, 10, 0.04901632240280265
23, 0, 1.565573671025952
11, 8, 1.252347218271261
16, 6, 0.1093193287742022
18, 5, 0.7274199852408837
14, 7, 0.4475614447234844
3, 10, -0.3850245700978571
8, 9, 0.2546310362902834
22, 2, -0.1556694367434662
21, 3, 0.4594232340370651
4, 10, -0.1709148373943461
23, 1, 0.8149820951794828
20, 4, 0.08261783590736202
12, 8, -0.9656611331393713
9, 9, -0.878271026440944
17, 6, -0.7184692410204765
5, 10, -3.019365725471425
-5, 11, 2.871002505985935
15, 7, 1.367751113311768
24, 0, 0.2582421749821477
-4, 11, -0.6566870553517192
19, 5, -1.505286177181567
-3, 11, -0.9832270141429581
-2, 11, -0.4901331525067507
13, 8, -0.2861667403780687
23, 2, 0.1580308206009918
22, 3, 0.1367986724904954
10, 9, -0.2199989172920847
-1, 11, 0.5875023432894699
6, 10, 0.05325468139474173
24, 1, -0.9442204174008284
21, 4, 0.5897002096146796
0, 11, -0.119427904917069
18, 6, -0.04647968651980403
16, 7, -0.6712892973835645
1, 11, 1.276307018489958
7, 10, -0.8588044062833183
25, 0, 0.7077827597806784
20, 5, -1.166846061683848
11, 9, 1.464245406486611
14, 8, 0.05225375602267376
2, 11, -0.7353544451987174
23, 3, -0.5369045334372585
24, 2, 0.5001715864750783
8, 10, 0.3797591972081483
3, 11, 0.157439988928043
22, 4, -0.06591051036412728
17, 7, 0.8832698903868981
25, 1, 1.207314678346027
19, 6, -1.060016103237259
12, 9, -0.1764781132549232
15, 8, 0.3592506245116089
4, 11, -0.03073594672814054
21, 5, 0.06318115056816911
9, 10, -0.7862675232853501
26, 0, -0.1105563930066631
-6, 12, -0.04610750515462753
5, 11, 0.4685592820228353
-5, 12, -0.9363603143375473
-4, 12, -0.08170074024084908
13, 9, 0.07550628502722588
24, 3, -0.09340337146842628
-3, 12, -0.3280006912873174
25, 2, -1.610667275461253
18, 7, 1.097052406392011
20, 6, 0.6202438064784622
10, 10, -0.6958847304793755
-2, 12, 0.3566779009676154
23, 4, 0.02244740196392539
16, 8, -0.2032237202609017
26, 1, 0.4754522154191463
6, 11, 0.9029739650036118
-1, 12, 0.7883608523215211
22, 5, 0.3321771316514607
0, 12, 0.186220148968846
14, 9, -0.8230155412590994
27, 0, 0.8537815807481043
11, 10, -0.06184484584420886
7, 11, 0.1231250683942813
1, 12, -0.9075187741347583
19, 7, -0.3052913205821481
25, 3, -2.277436541779665
17, 8, 2.437471777039057
21, 6, 0.5247888734926616
26, 2, 0.05803960115456143
2, 12, 0.01511479209482645
24, 4, -0.4743909604181253
8, 11, -0.4263841096312559
27, 1, 0.8552400504129901
12, 10, -0.2461385916220216
15, 9, -0.1572213925114484
3, 12, 0.01754564247502303
23, 5, -0.2169046559749543
28, 0, -1.08578585173002
4, 12, -0.4153263220545192
20, 7, -0.8616237306941615
9, 11, 1.018651092784315
18, 8, -0.06842992767213704
22, 6, 0.08199998826380746
26, 3, 0.183689235109402
13, 10, 0.1721310860323859
27, 2, -0.5190719835507035
-6, 13, 0.7968309415738758
25, 4, 0.3237882007593378
16, 9, 0.8174232547542553
5, 12, 2.567884178770273
-5, 13, -1.064822374332003
-4, 13, 0.7141364457978507
10, 11, 2.342957090220688
-3, 13, -2.541024260204657
28, 1, 0.03039476369831839
24, 5, -1.045498992956072
-2, 13, 0.3395553028996752
6, 12, -0.1855637680880404
21, 7, 0.4072007085811293
19, 8, 0.05601627871541946
-1, 13, 0.2555021894299875
14, 10, 0.03628430844117991
29, 0, -1.591716989408708
0, 13, -0.1661160850178054
23, 6, -0.6711855408500886
11, 11, -0.3278229679405801
17, 9, -0.3019527453156456
7, 12, -0.3896941844427378
27, 3, -0.06927865533552767
1, 13, -0.9123388651996107
28, 2, 0.3456852671608343
26, 4, -0.3251434741661925
29, 1, 2.01218222725762
25, 5, -0.8508019705647131
15, 10, -2.197320842542938
2, 13, 3.014755589790454
20, 8, 0.7837784157290052
8, 12, -1.076870366829173
12, 11, 0.2104064301505345
22, 7, 0.05525725101829706
18, 9, -0.2915079810255294
3, 13, 0.1764855630453892
30, 0, 0.2935026143815783
24, 6, -0.2060176510729991
9, 12, -0.2906887232658778
28, 3, -0.8762986429692463
4, 13, 0.05033326973108408
16, 10, -0.2592451153275066
27, 4, 0.4750498421429374
13, 11, -0.07072343200241007
29, 2, 0.7871820644024751
21, 8, -0.301220021283166
26, 5, 0.1545120078391636
-7, 14, 0.4039400903002746
-6, 14, -0.09178612046106314
30, 1, -0.2574210744997159
23, 7, 0.3028424204820896
5, 13, -0.3304575126952835
-5, 14, 0.504871873683863
19, 9, -0.4819679671310239
10, 12, 0.03867849072348362
-4, 14, 0.08059632708835093
-3, 14, -0.3741626308989926
25, 6, 1.249126295574333
14, 11, -1.988795492451327
-2, 14, 0.005191783733383125
17, 10, -0.4729535672670283
6, 13, -0.8111342924815149
31, 0, -0.732519151398845
-1, 14, -0.6510807197804817
29, 3, -1.030812188511629
11, 12, -0.3790321093819539
28, 4, 0.8771052135195335
30, 2, 0.4139490671693495
22, 8, -0.309524709353787
0, 14, 0.1364980790667529
20, 9, -0.3301546071665316
7, 13, 0.1245163555269327
27, 5, -0.3381648640085372
24, 7, 0.5828177405031202
15, 11, 0.1312587383299495
1, 14, 0.1151587984843925
31, 1, -0.3855646994484367
18, 10, 0.1982137071160671
12, 12, 0.5111639693229388
26, 6, 0.2528927677969136
2, 14, 0.0391661052291324
8, 13, -0.9613760104796751
