d = 19, symClass = D, r = 14.05262337109217, D = 16, Y = 0.1063273028969054
max of |f(z) - f(z^*)| for 100 points = 3.023803429869076e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -8.693046282814976e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -8.248957072964913e-14, 
confident_r = 14.0526233710921
1, 0, 1
2, 0, 0.7038064741112849
0, 1, 1.110175976652651
1, 1, 0.372127777792277
3, 0, -1.281906700593135
2, 1, 0.9842930007643969
4, 0, -0.5046564469989855
3, 1, 1.137965712307649
-1, 2, -0.08183719170267111
0, 2, 0.7813490397710416
1, 2, 1.087873818719535
5, 0, 0.9521376899570141
4, 1, 0.5128437083165028
2, 2, 0.2619059392069327
5, 1, 1.231350589393212
3, 2, -0.4050959510926026
6, 0, -0.9022142350841136
-1, 3, 0.01584212696987777
4, 2, 0.692751786360328
0, 3, -1.423142023308674
6, 1, -0.2284438264206951
7, 0, -2.249543510102758
1, 3, 1.526501676112132
5, 2, 1.59869205268692
2, 3, 0.5867848341852361
7, 1, -0.6907379022484514
3, 3, -0.4770330918289265
8, 0, -1.058986948711242
6, 2, 0.8009076356388207
4, 3, 0.5876078976071895
-2, 4, -0.05759754534337184
8, 1, -1.110366326025957
-1, 4, 1.842931860167812
0, 4, -0.5602574639211608
9, 0, 0.6432847890257876
7, 2, 0.4629469397381104
5, 3, 1.158825686067494
1, 4, 1.367858706049196
2, 4, 0.7656526366308036
9, 1, -0.09085368422494569
6, 3, -1.261771793026784
10, 0, 0.6701206704370267
8, 2, 0.3609427221204121
3, 4, -0.2391984663674186
4, 4, -0.1877966821702722
10, 1, 1.255069529780996
7, 3, 1.160393228562651
9, 2, 0.7285049374039834
-2, 5, 0.1184323660458797
11, 0, 0.05573726977899692
-1, 5, 0.8819281529283192
5, 4, 0.0816531396452195
0, 5, -0.05313558679667663
1, 5, 0.4491850284250249
8, 3, -0.03045389228896393
11, 1, -0.592838529014114
2, 5, 0.1301851285471939
10, 2, 0.8666325167157022
6, 4, -0.2851091530145246
12, 0, 0.6469224809053032
3, 5, -0.4038194736659134
9, 3, -1.458765871652322
7, 4, -0.2969044903846783
12, 1, 0.2666694768633891
4, 5, 0.5429866564935777
11, 2, -0.0859978329402232
13, 0, -1.402318611079418
-3, 6, 0.1049076444012286
-2, 6, 0.01114979152511954
10, 3, -1.62590024679296
5, 5, 0.3543168827160902
-1, 6, 2.007587025854288
8, 4, -0.4967298085717465
0, 6, -1.001616569584443
13, 1, 1.308712830236767
1, 6, 0.9314705412317856
12, 2, -0.1607802440056997
6, 5, -0.1933865957276576
14, 0, -1.583243286205462
2, 6, 1.074361762389392
9, 4, -0.09145535216725159
11, 3, -0.9025574828110969
3, 6, -1.394552737616508
7, 5, -0.08055177499515782
14, 1, 0.2528438880265976
13, 2, -0.2176687904645677
10, 4, 1.12516981679104
4, 6, 0.4129829652098245
15, 0, -1.22055168463681
12, 3, -0.6574177860464415
8, 5, -0.08313039498926601
-3, 7, -0.7381658487737085
5, 6, 0.125817000014381
-2, 7, -0.6330426962281994
-1, 7, 1.128631486875666
14, 2, -0.4861458075163783
15, 1, 1.085718274552648
11, 4, 2.303652703726532
0, 7, -2.497389163351233
9, 5, 0.5278141521377507
6, 6, -0.3357389783942746
13, 3, 0.9853553349793827
1, 7, 1.156217835981511
16, 0, -0.240665423503469
2, 7, -0.5352511001642853
7, 6, -0.6741773736224477
12, 4, -0.574281733179911
15, 2, -0.61860661199966
10, 5, 0.9371824639885938
3, 7, 1.628183557163616
16, 1, 0.3957962916226208
14, 3, -0.6105864557805672
17, 0, 1.256001868895066
4, 7, 0.3339300558805885
8, 6, 0.4135622425747594
13, 4, -0.68071125031405
11, 5, 0.6925018413236658
-4, 8, 0.04129966639693183
5, 7, -0.8666086183948202
-3, 8, -0.6670726320845075
16, 2, -0.7814830088920907
-2, 8, 1.297067374532247
17, 1, -0.4906324229653659
-1, 8, 0.5265142767888521
15, 3, -1.578476571322332
9, 6, 0.5192952140887841
0, 8, -1.175661870048032
6, 7, -0.09312791814910912
18, 0, 0.4527479992134242
12, 5, -1.192393916951163
1, 8, 1.022373329998483
14, 4, 0.3258250533576038
10, 6, 0.8155890202210321
2, 8, 0.9627078129872249
17, 2, 1.973224980517625
7, 7, -1.209245405254325
18, 1, -0.4208298260838808
16, 3, 0.3317880277144485
3, 8, -0.4550637751646088
13, 5, 0.1898589336793867
19, 0, -0.9933026740541318
15, 4, 0.7666600269936731
8, 7, 0.5380363162312483
11, 6, -0.6377624339541914
4, 8, -0.5490025361376777
18, 2, -0.06394341115455031
19, 1, 1.052327847527291
17, 3, 3.039629508005109
5, 8, -0.61560997475194
-4, 9, -1.849794066123858
-3, 9, -0.02030812871449118
9, 7, -0.5738986509209241
14, 5, 1.255610920913242
-2, 9, 1.220315289126835
12, 6, -0.8880431567833335
-1, 9, 0.4365103156220823
20, 0, -0.4805024236676631
16, 4, -0.2588098837047437
6, 8, -0.1683494292267259
0, 9, 0.7141593189222848
10, 7, -0.09115929342133978
1, 9, 1.119064435345584
19, 2, -0.5991658762343535
18, 3, 0.2928436717980094
20, 1, 0.8156619929477955
15, 5, 1.083500044566879
7, 8, 0.3515351187258882
13, 6, 0.03413475828478577
2, 9, -0.5482202794860307
17, 4, -0.08902853825075881
21, 0, 2.883704898876747
3, 9, -1.956832727074621
11, 7, 0.1578700043792172
8, 8, -0.3940784599349644
4, 9, -0.8921195574985561
20, 2, 0.8833260605198313
14, 6, 0.8166922667774751
16, 5, -0.5911182567684002
19, 3, -0.5243750564558605
21, 1, 0.6751611526164305
12, 7, -0.4089742684961967
9, 8, 0.4401608578833629
5, 9, -0.04196968887097583
-5, 10, -0.07792027466033261
18, 4, 0.5127264913669725
-4, 10, 0.08335346596747327
-3, 10, -0.563887370972209
22, 0, 0.03922825131967806
-2, 10, 0.6207067437319733
-1, 10, 1.094891649433204
15, 6, -2.049374054524082
6, 9, -0.7522034107486382
17, 5, -0.2847337457931771
10, 8, 0.05746800831376983
0, 10, -0.03739716999326415
21, 2, 0.7822986743506656
20, 3, -0.4334379491206659
13, 7, -0.09766683290560182
22, 1, -0.1149592347172871
1, 10, 0.5522896770167627
19, 4, -0.9096134284709879
7, 9, 0.4599021096435311
2, 10, 0.316139331079311
23, 0, 1.175476306699277
11, 8, 0.1914625842116656
16, 6, -0.02143364655501136
18, 5, 2.601529206638693
14, 7, -2.214209931909044
