d = 19, symClass = D, r = 19.00621499008057, D = 16, Y = 0.1302219288357424
max of |f(z) - f(z^*)| for 100 points = 4.055933366942099e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 6.796702090028361e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -4.376832229979755e-12, 
confident_r = 19.0062149
1, 0, 1
2, 0, -1.684213308250706
0, 1, -0.1482150428496829
1, 1, 0.5353641624036765
3, 0, -1.503515679482565
2, 1, 1.138945814833233
4, 0, 1.836574467683759
3, 1, -0.320728069526164
-1, 2, 0.06917041349035374
0, 2, 0.2496257476435879
1, 2, 0.06812533678637171
5, 0, -1.144840027956492
4, 1, 0.1887754257964228
2, 2, -0.9016674470763872
5, 1, 0.8438894408695788
3, 2, -1.002587485407704
6, 0, 2.532241116540931
-1, 3, -0.8770271389260432
4, 2, -1.918227698711871
0, 3, 0.2228436408479551
6, 1, -0.02125314206211382
7, 0, -0.4438991107985276
1, 3, 0.01712868356006596
5, 2, -0.4583230068950629
2, 3, 0.1207052014156169
7, 1, 0.3224234491699151
3, 3, -0.8049284124017595
8, 0, -1.408969851803301
6, 2, 0.5401744830188981
4, 3, -0.9856493712203223
-2, 4, -0.116497730940204
8, 1, 0.8388292659334453
-1, 4, 0.3806722784212845
0, 4, -0.2722079634092248
9, 0, 1.260559398432537
7, 2, 1.425076260024921
5, 3, -0.8339528603944694
1, 4, 0.9290263095191863
2, 4, -0.1147375988529756
9, 1, -0.01025209580087743
6, 3, -1.712422890666606
10, 0, 1.928154810893602
8, 2, -0.3179380843949837
3, 4, -0.3997713792308836
4, 4, 0.9832361515707336
10, 1, 0.4573930500318659
7, 3, -0.4775874494619126
9, 2, 0.5257737168545461
-2, 5, -0.8691863454470382
11, 0, 1.225361897668381
-1, 5, 0.3690332405516415
5, 4, -0.2256412294336354
0, 5, 0.3178975566374364
1, 5, -0.1550019846060852
8, 3, 0.03703136047947185
11, 1, -0.323930156632615
2, 5, 0.7007064312296047
10, 2, -1.421289827002364
6, 4, 1.688571185598865
12, 0, -2.761318508678173
3, 5, -0.6125876659975583
9, 3, 0.482219681375717
7, 4, 0.662455740343502
12, 1, -0.3334305371578245
4, 5, 0.4063742648980594
11, 2, -0.07404140208460705
13, 0, 1.561962333342554
-3, 6, -0.103998801239758
-2, 6, 1.477100779058614
10, 3, 0.3747392544490418
5, 5, -0.6129063226476565
-1, 6, -0.1726120590274474
8, 4, 2.091758803571522
0, 6, -0.3753162255744049
13, 1, -0.5840114480917359
1, 6, -0.1465723368597005
12, 2, 0.03579482470910603
6, 5, -0.2720604569323101
14, 0, 0.7476207899227038
2, 6, -0.02884835679731089
9, 4, 0.4269505930987103
11, 3, 0.8670138257920234
3, 6, -0.1024275120361115
7, 5, 0.07878135295150603
14, 1, -0.376099043420818
13, 2, 0.6360762733256745
10, 4, 0.7719137076814365
4, 6, -0.2032933066035598
15, 0, 1.7212849325107
12, 3, -0.2838268125844292
8, 5, -0.3442464107824726
-3, 7, -1.014963066283039
5, 6, 0.6144502666188156
-2, 7, -0.6081501959015844
-1, 7, 0.5325413180297761
14, 2, -0.543029863980781
15, 1, -0.9910763015862806
11, 4, 0.9859988444633017
0, 7, 0.06579252572614225
9, 5, 0.1907200237117286
6, 6, 1.355671144349075
13, 3, 0.1935870601673492
1, 7, -0.03840492572330097
16, 0, 0.5364313076311255
2, 7, 1.259222059649287
7, 6, -1.064398790851932
12, 4, -0.5890409835437245
15, 2, 0.1291842904500814
10, 5, -1.303910758476631
3, 7, 0.3008256718548278
16, 1, -0.2774416917985167
14, 3, -0.2875803362234227
17, 0, -0.5630734632140586
4, 7, -0.2311935476340153
8, 6, 1.660043788262055
13, 4, -0.06908623784326116
11, 5, -0.8699715613839231
-4, 8, 0.1270366153163773
5, 7, -0.8311130953955683
-3, 8, 0.7355370846890722
16, 2, -1.412767413032233
-2, 8, -0.6411333174174685
17, 1, -0.844124172399753
-1, 8, 0.04707345320898072
15, 3, -1.268801006088026
