d = 19, symClass = D, r = 23.9851670301016, D = 16, Y = 0.1410249462052963
max of |f(z) - f(z^*)| for 100 points = 1.761180090653625e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -5.584421813864537e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 1.251887482567327e-12, 
confident_r = 23.9851670301016
1, 0, 1
2, 0, 0.1924772115569725
0, 1, 1.004230785673014
1, 1, 0.7252973289831848
3, 0, 0.04836289562632714
2, 1, 0.6313773451680945
4, 0, -0.9629525230296572
3, 1, 0.3385419113757028
-1, 2, 1.065639471977632
0, 2, 0.1932915413865679
1, 2, 0.5280796557973018
5, 0, 0.1883453187720376
4, 1, 0.8286136230166139
2, 2, 0.1396032074311516
5, 1, 1.10145114073767
3, 2, 0.3552806723260219
6, 0, 0.009308755290394401
-1, 3, 0.05703699772294624
4, 2, 0.1215257508369618
0, 3, 0.04856750867346236
6, 1, -0.258754194681202
7, 0, 0.3563369181403043
1, 3, -0.3042244872761997
5, 2, 1.235322446208585
2, 3, 0.03277468858471983
7, 1, 1.184587996777466
3, 3, 0.03507747902216634
8, 0, -0.3778236280497889
6, 2, 0.06516160309581397
4, 3, 0.6451823374070971
-2, 4, 0.2051113140923208
8, 1, 0.184412262926604
-1, 4, 0.7314603411389019
0, 4, -0.9670265687681595
9, 0, -0.9976610303248562
7, 2, -0.07878360125618701
5, 3, 0.3758935785685056
1, 4, 0.3040548407253572
2, 4, 0.1016432996273254
9, 1, 1.070147964190221
6, 3, 0.03053523664554053
10, 0, 0.03625218176619192
8, 2, 0.1594892396162877
3, 4, -0.9151590672150837
4, 4, -0.6984268928931197
10, 1, -0.3305239407122632
7, 3, 1.391151635991788
9, 2, 0.2292035512412724
-2, 5, 0.2618835369026167
11, 0, -0.04218111216623226
-1, 5, -0.1605441838465359
5, 4, 1.475096451879437
0, 5, -0.8150886182231233
1, 5, -0.6401116980205618
8, 3, 0.7729054626852215
11, 1, 1.209831255967667
2, 5, 1.519224206232205
10, 2, 0.2120042442348674
6, 4, 0.06838343312839518
12, 0, -0.04657117236634952
3, 5, 0.01673767356780808
9, 3, 0.01637286712469697
7, 4, -0.6844364879544429
12, 1, 0.7746163902945888
4, 5, -0.008586862611790704
11, 2, 0.8003425904122753
13, 0, -1.360985778038802
-3, 6, 0.05153741055848281
-2, 6, 0.01097832227917297
10, 3, -0.1483361082037349
5, 5, 0.1366063566336679
-1, 6, 1.350318603274717
8, 4, -0.6079864075163104
0, 6, 0.009348138642914866
13, 1, 0.1874137352822373
1, 6, 0.2400816511848191
12, 2, -0.04980428587209906
6, 5, 0.2168280081479904
14, 0, 0.06858673637862202
2, 6, -0.05855628099981332
9, 4, 1.202904596377047
11, 3, 0.3980118801911207
3, 6, 0.02553946127651727
7, 5, 0.6728206207245754
14, 1, -0.5756041342191194
13, 2, 0.6901607522906001
10, 4, 0.2377714198207179
4, 6, 0.006308380668114941
15, 0, 0.00910892499347804
12, 3, 0.04007415416449393
8, 5, -0.3941195861187755
-3, 7, 0.1981849554639896
5, 6, -0.1849108763672102
-2, 7, -0.3347869800755209
-1, 7, 0.316658377201658
14, 2, 0.2280061944647623
15, 1, -0.8467070435831966
11, 4, 0.2356838518267548
0, 7, 0.3578445032699561
9, 5, -0.8642119419055904
6, 6, 0.006751615349927762
13, 3, 0.9645329098504112
1, 7, -0.2976978476193208
16, 0, 0.8902300846405475
2, 7, 0.3861780223544033
7, 6, 0.6260245467277096
12, 4, -0.3259997877132714
15, 2, -0.684467609976783
10, 5, 0.11891696734103
3, 7, 1.730803348922815
16, 1, -0.8916461274197079
14, 3, 0.2776936714363697
17, 0, 0.1130374671935431
4, 7, -0.8838162156742234
8, 6, 0.1241828972489634
13, 4, 0.329271796447765
11, 5, -0.2465342322479912
-4, 8, -1.026160218180347
5, 7, 0.7174939576785103
-3, 8, 1.661705511729152
16, 2, 0.03549515814489345
-2, 8, 0.1407894468295027
17, 1, -0.9886668069790053
-1, 8, 1.259327664890328
15, 3, 0.05326936655713714
9, 6, 0.01718240207388935
0, 8, -0.3794221188435601
6, 7, 0.3607636236829692
18, 0, -0.192027013197683
12, 5, -0.2217636133337752
1, 8, -0.1535838391966453
14, 4, -0.01516404788743377
10, 6, 0.07235094784696643
2, 8, 0.05852362790091368
17, 2, -0.6997566310087577
7, 7, -0.4668471140372069
18, 1, 0.09291897691861682
16, 3, 0.8277071983485479
3, 8, -0.9572094273132633
13, 5, 0.4222214085685442
19, 0, 0.1355874842425741
15, 4, 1.743219067343601
8, 7, -0.4473951361500726
11, 6, 0.06747429436067452
4, 8, -0.5085156369119836
18, 2, 0.2059790961012374
19, 1, 0.06289509008725096
17, 3, 1.406214896056219
5, 8, -0.01535230191068294
-4, 9, 0.3857372452799762
-3, 9, 0.002758474365522967
9, 7, -0.3089248045996054
14, 5, 0.2164791597997025
-2, 9, 0.1410750322670117
12, 6, 0.005877337203441571
-1, 9, -1.053162881335642
20, 0, -0.1813675999141791
16, 4, -0.7979155789035614
6, 8, -0.176147265389684
0, 9, -1.001881920318583
10, 7, 0.7890403021060919
1, 9, -0.9472741376781401
19, 2, -0.1393129778865769
18, 3, -0.01251410210956081
20, 1, 0.2083777675859903
15, 5, 0.06376278421637145
7, 8, 0.3526631118756017
13, 6, 1.07394300181295
2, 9, 0.6444140182041331
17, 4, 0.5627425255679629
21, 0, 0.01723348517732892
3, 9, -0.01471317712588354
11, 7, 0.4176551095593291
8, 8, -0.2740344682481549
4, 9, 0.1371235694968596
20, 2, -0.06361832645960086
14, 6, 0.2677649877470001
16, 5, -0.6774136200225623
19, 3, -0.3543462439527981
21, 1, -0.6331478617668159
12, 7, 0.5000038632932682
9, 8, -0.4279801268970423
5, 9, 0.8830033837099017
-5, 10, 0.2007082060478766
18, 4, 0.0441164604212844
-4, 10, 0.05040661293735477
-3, 10, -0.544997465886255
22, 0, -0.008118902851424673
-2, 10, -0.03090109683894307
-1, 10, 0.1526399410566289
15, 6, 0.0597437705326181
6, 9, 0.001585078845406346
17, 5, 0.3486975853042502
10, 8, 0.2839224518344725
0, 10, -0.1568859844068888
21, 2, -0.2481104377876314
20, 3, -1.101995347450212
13, 7, -0.7360664707258958
22, 1, -0.03031446601539448
1, 10, 0.9662125180746286
19, 4, -0.2183116862102636
7, 9, -0.1084313867687179
2, 10, -0.1232069147204934
