d = 19, symClass = C, r = 14.41478203521055, D = 16, Y = 0.1121146139348563
max of |f(z) - f(z^*)| for 100 points = 3.752775867837954e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -3.727462782876501e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.621103417117411e-12, 
confident_r = 14.414782035211
1, 0, 1
2, 0, 1.7050783096893
0, 1, -0.8748836157851581
1, 1, -0.1932477120650286
3, 0, 1.996680524629762
2, 1, 1.295368512029199
4, 0, 1.90729204216346
3, 1, -0.4367066679903105
-1, 2, 8.914248136143517e-15
0, 2, -1.491745076774093
1, 2, 0.1791441291713832
5, 0, 0.7654213411682265
4, 1, 0.234578658832696
2, 2, -0.3295024822355423
5, 1, 0.1690692570724049
3, 2, -0.1690692570720737
6, 0, 3.40449665391779
-1, 3, -1.025732997389114
4, 2, 2.208704752910627
0, 3, -1.746863076952982
6, 1, 0.7764341199620184
7, 0, 0.03734467821699281
1, 3, 0.9626553217831714
5, 2, -1.133296687576168
2, 3, 1.133296687576261
7, 1, -0.5161226972380223
3, 3, -0.3858539431065764
8, 0, 1.547003981644309
6, 2, -0.7446190672856878
4, 3, 0.04581060397024125
-2, 4, 9.245159485504529e-16
8, 1, -0.2503270012288573
-1, 4, 0.2503270012287286
0, 4, -1.668658558205462
9, 0, 2.98673311742871
7, 2, 0.769902541409328
5, 3, 0.3820675087276415
1, 4, -0.3820675087294501
2, 4, 0.3054547689555752
9, 1, 3.074892322561224e-13
6, 3, 2.586437080183203
10, 0, 1.305103326596119
8, 2, 0.3999749830918199
3, 4, -1.3552339257826
4, 4, -0.3685798233871265
10, 1, -0.1567302634745851
7, 3, 0.1567302634756939
9, 2, 0.08439256443207357
-2, 5, 0.08439256443261206
11, 0, 1.677979581954149
-1, 5, 0.677979581953901
5, 4, -1.080112641010194
0, 5, 0.205229025225392
1, 5, 0.1115472562146279
8, 3, 3.646993628133235e-13
11, 1, 1.416133178659772
2, 5, -1.387696477348156
10, 2, 0.2882763230711987
6, 4, -0.2882763230705082
12, 0, 3.808252875366948
3, 5, -0.4879791320176989
9, 3, -0.871963698950961
7, 4, -0.7174097791078571
12, 1, -0.03461919309089001
4, 5, 0.03461919309144772
11, 2, -1.341947419227619
13, 0, 1.990867511407685
-3, 6, 3.674222837024707e-15
-2, 6, -1.748955085377742
10, 3, -0.04533178911892879
5, 5, -0.1479159229449679
-1, 6, -0.04533178911908847
8, 4, 2.470646054661114
0, 6, -2.978538342505016
13, 1, -0.5656960667072122
1, 6, -0.5656960667076512
12, 2, 1.323880976847332
6, 5, 1.176005360459836
14, 0, 0.06367560081320495
2, 6, 1.641402708875985
9, 4, -1.045833469280494
11, 3, -1.571111913741771
3, 6, 0.3576935938159131
7, 5, -2.778954017068444e-13
14, 1, 0.8973969935852749
13, 2, -0.897396993584896
10, 4, -1.932359600426882
4, 6, 1.932359600426703
15, 0, 1.528301885045866
12, 3, 0.4683786395847072
8, 5, -0.3393254116484251
-3, 7, 1.921976980165845
5, 6, -0.6792894902909473
-2, 7, 0.6792894902904119
-1, 7, -0.8173751229394122
14, 2, -0.8800296161968252
15, 1, -0.8422113686746497
11, 4, 0.8422113686752219
0, 7, -0.0326722471099281
9, 5, 0.9179534731036839
6, 6, -0.6579111890996684
13, 3, 0.2320576640418623
1, 7, -0.2320576640424725
16, 0, 0.7304708919358528
2, 7, -0.230857270063179
7, 6, 0.04667395850822641
12, 4, -0.8329271526172403
15, 2, 0.3038658082459528
10, 5, 0.9915027037826161
3, 7, 0.3038658082461456
16, 1, -1.268925739587499
14, 3, -1.712478849916659
17, 0, 0.1907127138683632
4, 7, -0.8092872861343868
8, 6, 0.07811066718348113
13, 4, 0.1982205549340856
11, 5, -0.1982205549336844
-4, 8, -5.288952829422635e-15
5, 7, 0.4515472915472074
-3, 8, -0.4515472915476972
16, 2, -0.4268271401252615
-2, 8, 0.4268271401254907
17, 1, -0.4897686694525778
-1, 8, 0.9346325032608871
15, 3, 0.3375772929102009
9, 6, -0.3375772929104585
0, 8, -1.35344843709333
6, 7, -1.025750683278954e-12
18, 0, 5.092613855347912
12, 5, -0.1500441172506908
1, 8, -0.1500441172506775
14, 4, 1.31274412392693
10, 6, 0.6514550219700264
2, 8, -0.6514550219670782
17, 2, -0.3792786505056222
7, 7, 0.1860309384405352
18, 1, 0.5517533550406566
16, 3, 0.4666445632613022
3, 8, 1.246787755308647
13, 5, 1.792171157612308
19, 0, 1.000000000001837
15, 4, -0.04007894684423201
8, 7, 0.04007894684205206
11, 6, -1.232632814824148
4, 8, 0.3416801719690525
18, 2, -9.406139352818298e-13
19, 1, -0.219006991964161
17, 3, 0.2190069919636837
5, 8, 0.2190069919642459
-4, 9, -0.2190069919639807
-3, 9, -2.048061099354694
9, 7, -1.056260590704112
14, 5, -0.07823343574071261
-2, 9, 0.07823343573935246
12, 6, 4.410077764788758
-1, 9, -0.5367817571755304
20, 0, 1.459882032911809
16, 4, 0.4474100092523634
6, 8, -2.310779971400431
0, 9, -2.613043869157777
