d = 19, symClass = C, r = 18.56400734520961, D = 16, Y = 0.1185646102314963
max of |f(z) - f(z^*)| for 100 points = 2.604416682316923e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 2.54827409174041e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 3.132077930345645e-13, 
confident_r = 18.56400734521
1, 0, 1
2, 0, 0.2689557228309629
0, 1, -0.04807555563825545
1, 1, -0.460238013868543
3, 0, 1.066360977252432
2, 1, 0.07497915024129428
4, 0, -0.9276628191558751
3, 1, -0.120550238971509
-1, 2, 1.033082868420422e-15
0, 2, -0.012930195817442
1, 2, -1.378344541683224
5, 0, -1.498832951929758
4, 1, -0.5034554700309101
2, 2, -0.1237836476946139
5, 1, -1.07224334976124
3, 2, -1.116495746246806
6, 0, 0.286803887436307
-1, 3, 0.1026607559476337
4, 2, 0.02016607155040313
0, 3, -0.05126589649286172
6, 1, -0.0806200470042945
7, 0, -0.5860021917887978
1, 3, -0.009640250608674511
5, 2, -1.79298931316178
2, 3, -1.785779984542935
7, 1, -0.8191112868097683
3, 3, -0.4907798582378759
8, 0, -0.5184559469003861
6, 2, -0.03242267666001541
4, 3, 0.03079699061782844
-2, 4, -3.678378238523553e-15
8, 1, -1.339011883185462
-1, 4, -1.269995372808244
0, 4, 0.04459790547567415
9, 0, 0.1371257338081313
7, 2, 0.6593731360316836
5, 3, 0.4031110236778561
1, 4, 0.391519984235854
2, 4, -0.3707136525191799
9, 1, -0.8261260945786241
6, 3, 0.07995483992499557
10, 0, -0.4031196999897171
8, 2, -0.1354072298553882
3, 4, -1.42574724397588
4, 4, 0.4269456934276437
10, 1, 0.3841243009993217
7, 3, 0.2515949415927298
9, 2, 0.3451341792556117
-2, 5, -0.2341705741443524
11, 0, -2.1273493619905
-1, 5, 1.138593107931936
5, 4, 0.1204650298953896
0, 5, 0.120132782612219
1, 5, -0.6710911524219262
8, 3, -0.6022654146782515
11, 1, 1.333424676306666
2, 5, -0.2675049799728323
10, 2, -0.2883859851862478
6, 4, -0.3002879204698263
12, 0, -0.9892234303962206
3, 5, 0.7140798946987676
9, 3, -0.1285500706376856
7, 4, 0.387660128270206
12, 1, 0.8660937178396602
4, 5, -0.4026393907426884
11, 2, 0.2571124345303411
13, 0, 0.5675399329386789
-3, 6, -6.319046854427734e-15
-2, 6, 0.02761119782272024
10, 3, 0.3369341937874538
5, 5, 0.6898199009173498
-1, 6, 0.1264844974097353
8, 4, -0.06955536989064645
0, 6, -0.01378825624798657
13, 1, 0.4645668180773453
1, 6, -0.4826443270361466
12, 2, -0.0216832230169145
6, 5, 0.7025590687283214
14, 0, -0.1576086430728833
2, 6, -0.00259280057094302
9, 4, -0.2001935685197994
11, 3, -0.9305245022929783
3, 6, -1.469812832461487
7, 5, -0.9847537237544477
14, 1, 0.5482214778121181
13, 2, 0.5580924235815938
10, 4, -0.4822347367501214
4, 6, -0.4802957465606411
15, 0, -1.598296971359489
12, 3, -0.5368652670255456
8, 5, -0.8355177173572749
-3, 7, 0.3303985030186118
5, 6, -0.5661642559367716
-2, 7, -0.573915963047593
-1, 7, 0.1224313564899551
14, 2, -0.2203046682233791
15, 1, 1.007804394828395
11, 4, 1.006877474019076
0, 7, 0.02817238097623217
9, 5, 0.6738412692883726
6, 6, -0.1319980515234409
13, 3, 0.2755459596817675
1, 7, 0.482240164632639
16, 0, 0.7882211252008606
2, 7, 1.095909861289923
7, 6, 0.04581325362892883
12, 4, 0.1118299745340772
15, 2, 0.1343026591628858
10, 5, -0.1123812210896176
3, 7, -0.2097999858168097
16, 1, 0.1123678028428271
14, 3, -1.081252420898343
17, 0, -0.09062716322011431
4, 7, -0.8803081165475299
8, 6, 0.00828302687256424
13, 4, 0.3560160858983429
11, 5, 0.4505128507375795
-4, 8, -4.074128224046703e-15
5, 7, 0.2406081733718969
-3, 8, 0.1618497128856232
16, 2, -0.360134908922231
-2, 8, -0.3415725234861524
17, 1, -0.577485536017755
-1, 8, 0.4553911349606914
15, 3, -1.14339846630489
9, 6, -1.190587495066849
0, 8, 0.02492505772155279
6, 7, 0.2186550120899655
18, 0, 0.03688075085534256
12, 5, -0.3784682791132138
1, 8, 0.4526770997356976
14, 4, 0.1773421784176701
10, 6, 0.1084190167571349
2, 8, 0.1053015403597483
17, 2, 0.2785741044571873
7, 7, 0.7299384987400189
18, 1, 0.2708106444340329
16, 3, -0.1073366724783839
3, 8, -1.050622305639389
13, 5, 0.2630815199460415
19, 0, 0.5453572553842724
15, 4, 0.5013585335308628
8, 7, 0.5043196984023623
11, 6, 0.6036087298984363
4, 8, 1.278638983306485
18, 2, -0.2221913409168768
19, 1, 0.8025436712820473
17, 3, 0.6804322048692799
5, 8, -0.8412239953033562
-4, 9, -0.9699714758856179
-3, 9, 0.1094734240378326
9, 7, -1.198439119164683
14, 5, 0.08203023475752763
-2, 9, -0.2502892930124316
12, 6, 0.02150431176602572
-1, 9, 0.3424969822986491
20, 0, 1.390411601631627
16, 4, 0.4670369206485246
6, 8, -0.3834628805781193
0, 9, -0.006592395845549663
10, 7, -1.000841522933177
1, 9, -0.93744206315679
19, 2, -0.03101524599838983
18, 3, -0.08597007210979488
20, 1, 0.02248934999145877
15, 5, 0.1806846705336034
7, 8, 0.09889400445586233
13, 6, 0.523686799142449
2, 9, 0.230285504415132
17, 4, 0.1749279820317109
21, 0, -0.6248898699081001
3, 9, -0.01027998706032416
11, 7, 0.4031689049257168
8, 8, 0.2386131352800707
4, 9, -0.5713117726722522
20, 2, 0.1033124290323502
14, 6, 0.06766789937747737
16, 5, 0.7432996431480741
19, 3, -0.2385982092726952
21, 1, 0.8249893433169679
12, 7, 0.6670681474124159
9, 8, 0.6516733149242698
5, 9, 0.07943294204840749
-5, 10, 4.154531918377999e-16
18, 4, 0.09282581265541062
-4, 10, -0.06298151603616677
-3, 10, -0.5476078011722637
22, 0, -0.5721627853698504
-2, 10, 0.3062311323551727
-1, 10, -0.7277846843619754
15, 6, -1.911973836186694
6, 9, -1.904286089477251
17, 5, -0.04811760453242022
10, 8, 0.03239975919108577
0, 10, 0.03231039938470827
21, 2, 0.7569727612043181
20, 3, 0.09234473357760326
13, 7, -0.04474244833134341
22, 1, 0.3524076337989062
1, 10, 0.3807555253891153
19, 4, -0.6855405124355295
7, 9, 0.6734508672020461
2, 10, -0.180493805985553
23, 0, 1.832528523885178
11, 8, -0.9671388272960798
16, 6, -0.1619827299414509
18, 5, 1.200041499868589
14, 7, -0.04393794637988624
3, 10, 1.201487135466771
8, 9, -0.8902613167932703
22, 2, 0.3586321976574287
21, 3, -0.8734683122817193
4, 10, -0.07194699524980663
23, 1, -0.1793213836544136
20, 4, 0.994680288660751
12, 8, 1.035731591539545
9, 9, -0.06311047537843376
17, 6, -1.401620612500297
5, 10, 2.065908218189816
-5, 11, -0.7244976549163994
15, 7, 0.6633725432791846
24, 0, -0.5528611902003076
-4, 11, 0.9580566770412763
19, 5, -1.009995815718574
-3, 11, 0.4030586506670847
-2, 11, -0.3920666547103305
13, 8, -1.059740549251518
23, 2, -0.03967530741895953
22, 3, -0.06219106835185239
10, 9, 0.2981936915173975
-1, 11, 0.3313787263933243
6, 10, 0.1920558742383584
24, 1, -0.3230715771621912
21, 4, -0.213594584540861
0, 11, 0.1022735026155375
18, 6, -0.03457427716862962
16, 7, 1.263053327116093
1, 11, 1.237114088786715
7, 10, 0.1979253226291851
25, 0, 0.2395892777314049
20, 5, -0.7442373036179993
11, 9, -1.236109927153577
14, 8, 0.1042634100115277
2, 11, -0.777647097015465
23, 3, -0.9991793434946356
24, 2, 0.2329408619211563
8, 10, -0.1082921683779596
3, 11, 0.1148315939170508
22, 4, 0.06915186067784219
17, 7, 0.2940707835038149
25, 1, -1.101770389368789
19, 6, -1.166296549443124
12, 9, 0.03284070901166578
15, 8, 0.4091688774265302
4, 11, 0.3512603885210741
21, 5, 0.1784514134310621
9, 10, -0.3012839499074587
26, 0, 0.1526431128992763
-6, 12, 6.539336033601787e-15
5, 11, -0.5374605357431826
-5, 12, 0.4092502713111925
-4, 12, -0.09523456627915017
13, 9, 0.5621622469720424
24, 3, -1.42787002030733
-3, 12, -1.354273506854235
25, 2, -1.409518441465056
18, 7, -1.435239342563147
20, 6, 0.0906203796352273
10, 10, 0.1855310100755472
-2, 12, 0.03401872942773654
23, 4, 1.041959955598913
16, 8, -0.03887338633465819
26, 1, 0.6735346743851717
6, 11, -0.6388314853039702
-1, 12, -0.9217163609002699
