d = 19, symClass = C, r = 20.30581143574959, D = 16, Y = 0.133256895575791
max of |f(z) - f(z^*)| for 100 points = 9.564571357145724e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -1.720845688168993e-15, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 2.331357329410366e-12, 
confident_r = 20.3058114357496
1, 0, 1
2, 0, 0.6449898631726261
0, 1, -0.2550877979027794
1, 1, 0.5783373471698786
3, 0, 1.262249465264333
2, 1, -0.6119333369085517
4, 0, -0.5839880764051647
3, 1, -0.734842557907011
-1, 2, -1.120969162513335e-15
0, 2, -0.1645290438663185
1, 2, 0.6755511861697517
5, 0, -2.961344065203747
4, 1, -2.091483634481325
2, 2, 0.3730217264163882
5, 1, -0.2105715442343357
3, 2, 0.08448205643257085
6, 0, 0.8141381098879215
-1, 3, 0.4592682323753572
4, 2, -0.3946907992415974
0, 3, -0.3219844364960984
6, 1, 0.2783617165497848
7, 0, 0.3331607704636398
1, 3, 0.6642125962142625
5, 2, -0.5299509420890243
2, 3, -0.8421443968364416
7, 1, -0.2402013644188737
3, 3, 0.7300060071981775
8, 0, -1.021656252668092
6, 2, -0.473966000877489
4, 3, -0.4017014016083718
-2, 4, -3.629909909565843e-14
8, 1, -0.3681953055940223
-1, 4, 0.3396124998241336
0, 4, 0.1489682324115834
9, 0, 0.5932737125460368
7, 2, -0.6833803516419311
5, 3, 0.7150853560304233
1, 4, 0.3401866162277825
2, 4, 0.4357236671350275
9, 1, -1.827242922740555
6, 3, -0.772412527285803
10, 0, -1.910036903421085
8, 2, -1.348985743230607
3, 4, 0.8000195581501917
4, 4, -0.3377421148873195
10, 1, -1.285528437348506
7, 3, -0.9408787084456908
9, 2, -0.4139954458213614
-2, 5, -0.4359783452307569
11, 0, 0.2189445490244832
-1, 5, -0.4700197313897174
5, 4, 1.822426645761613
0, 5, 1.01049053432601
1, 5, -0.8726514508347164
8, 3, -0.03806421323235427
11, 1, -0.1834762743174745
2, 5, -0.4125798943044276
10, 2, -0.1358165115052517
6, 4, 0.05449007002012946
12, 0, -0.73713863716045
3, 5, 0.5290798481453839
9, 3, -0.9275546257691113
7, 4, -0.531753617832699
12, 1, 0.3675067792650994
4, 5, -0.4138861825096163
11, 2, 0.4615509460380282
13, 0, -1.602904884468732
-3, 6, 9.891100221811061e-15
-2, 6, 0.2962233543583748
10, 3, -1.17741920702457
5, 5, -1.71265587071843
-1, 6, -1.24174698658868
8, 4, 0.3573617723095641
0, 6, -0.2076766976393066
13, 1, 0.5692827018004676
1, 6, 0.3300666153242256
12, 2, 0.1795404854733014
6, 5, -0.4137386355159405
14, 0, 0.2148853197580788
2, 6, 0.4284103915472584
9, 4, 0.08087049487217857
11, 3, -0.1175775726119595
3, 6, 0.852714123501751
7, 5, -0.4142116084855964
14, 1, 2.106591292459928
13, 2, 2.340898736545436
10, 4, -0.3418129856255799
4, 6, -0.5431745992858433
15, 0, -3.737954962751367
12, 3, -2.639974099220223
8, 5, -0.1063657310071272
-3, 7, 0.8781301298127236
5, 6, 1.96573063329142
-2, 7, 2.107743987881262
-1, 7, -0.780205958455329
14, 2, -0.1549274451686214
15, 1, -0.2423547883863545
11, 4, 0.09651026862596133
0, 7, -0.08498524728559172
9, 5, -1.676200602464522
6, 6, 0.4708464746995666
13, 3, -0.6657406995603496
1, 7, 0.1610438836497053
16, 0, -0.07496985020987508
2, 7, 0.06937558732763824
7, 6, 1.12820376521843
12, 4, 0.4291392918538655
15, 2, 1.629853338048963
10, 5, 1.812145155551447
3, 7, 0.9298437810127548
16, 1, 1.005836692377313
14, 3, -0.5659092716412981
17, 0, 0.4480036100876036
4, 7, -0.3680164402660375
8, 6, -0.2590933320579832
13, 4, 0.3119359181993162
11, 5, -0.2192880240946093
-4, 8, 1.304162946634658e-15
5, 7, -1.361309728753732
-3, 8, -1.483854602958988
16, 2, -0.237482239776722
-2, 8, 0.2190466197945721
17, 1, 0.4681145576695556
-1, 8, -0.842038611847736
15, 3, -0.2657938191086232
9, 6, 0.1066374305577352
0, 8, 0.2606120437060868
6, 7, 0.3185681698779951
18, 0, 0.3826555306819371
12, 5, 0.2034152725381752
