d = 19, symClass = C, r = 22.44910099948589, D = 16, Y = 0.1362585204438096
max of |f(z) - f(z^*)| for 100 points = 4.344302695358238e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 6.494804694057166e-15, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -1.49213974509621e-13, 
confident_r = 22.44910099948589
1, 0, 1
2, 0, -0.6068040840293566
0, 1, 0.4503509596495873
1, 1, 1.195680569610047
3, 0, 1.40085716833914
2, 1, -1.63859912164014
4, 0, -0.63178880360574
3, 1, 1.258495655848057
-1, 2, 3.14934444351037e-15
0, 2, -0.2732748015619161
1, 2, -0.1497263298680307
5, 0, 0.2028159868572686
4, 1, 0.7971840131428185
2, 2, -0.7255438528337744
5, 1, 0.5384758919581935
3, 2, -0.5384758919581681
6, 0, -0.8500458508898407
-1, 3, 1.108771825633537
4, 2, 0.9943086390979136
0, 3, 0.6308773700934625
6, 1, -0.780888908031628
7, 0, 1.429652024542652
1, 3, -0.4296520245425504
5, 2, -0.7379446869115973
2, 3, 0.7379446869116029
7, 1, 0.778830012697682
3, 3, 1.674977696981857
8, 0, 0.9901761103009978
6, 2, -0.763660303701636
4, 3, 1.593775378799127
-2, 4, -7.547772976836745e-17
8, 1, -1.959241131124975
-1, 4, 1.959241131125072
0, 4, -0.2845266939997459
9, 0, 0.9624008060860642
7, 2, 0.783931364823193
5, 3, 0.5667647263262545
1, 4, -0.5667647263261757
2, 4, 0.09085454845050987
9, 1, -4.523077902059059e-14
6, 3, -2.295443325583312
10, 0, -0.1230695691315067
8, 2, -0.4837345148977988
3, 4, -1.368835272745803
4, 4, -0.7554175965683103
10, 1, -0.06742939634053073
7, 3, 0.0674293963407387
9, 2, 1.504758802636001
-2, 5, 1.504758802636011
11, 0, 2.685007081439393
-1, 5, 1.685007081439303
5, 4, 0.8093635449858688
0, 5, -0.3590125853362564
1, 5, -0.9361739900100298
8, 3, -1.767297890061794e-13
11, 1, 0.4131495566686603
2, 5, 1.730711077234715
10, 2, -0.3267493703917205
6, 4, 0.3267493703915534
12, 0, -0.8850458744072798
3, 5, -0.8140761991578219
9, 3, 1.762972660817758
7, 4, -0.1081649994060707
12, 1, -0.1790248633820669
4, 5, 0.1790248633820431
11, 2, 1.673556497697649
13, 0, -1.092807679208142
-3, 6, -1.240479240856318e-14
-2, 6, -0.6728072720508826
10, 3, 0.9531774349185043
5, 5, 0.242503134691547
-1, 6, 0.9531774349185377
8, 4, 1.035248578650021
0, 6, -0.3828189646944363
13, 1, -2.062169876260199
1, 6, -2.062169876260255
12, 2, 0.4738465785667339
6, 5, -0.4079411922248283
14, 0, -0.8675186872332934
2, 6, 0.2607146032038701
9, 4, 1.24176371594633
11, 3, -1.668230917921984
3, 6, -0.2097452024845186
7, 5, 5.376716754702456e-14
14, 1, 0.4993364557062993
13, 2, -0.4993364557066777
10, 4, 0.4477878498056134
4, 6, -0.4477878498055726
15, 0, 0.2841162290427486
12, 3, 1.116740939296288
8, 5, -0.0799693906930742
-3, 7, 0.7946652560957331
5, 6, -0.3516740691119517
-2, 7, 0.3516740691118346
-1, 7, -0.39869668149923
14, 2, -0.4725972324695203
15, 1, -0.1934942015681272
11, 4, 0.1934942015682171
0, 7, 0.6438451612177608
9, 5, -1.103773967153339
6, 6, -1.016383307186562
13, 3, 0.2453414326081465
1, 7, -0.2453414326081421
16, 0, 0.03094589596650271
2, 7, 1.084958627292866
7, 6, -1.738034801909495
12, 4, -0.7951034647508969
15, 2, -1.306265023720626
10, 5, -0.3323340979186045
3, 7, -1.30626502372138
16, 1, 0.903804044732622
14, 3, 1.161936923774128
17, 0, 1.583811315788065
4, 7, 0.583811315787972
8, 6, -0.9671094088803509
13, 4, 1.325736928040736
11, 5, -1.325736928040786
-4, 8, -1.365664290183346e-15
5, 7, 0.3507468436222415
-3, 8, -0.3507468436222788
16, 2, 1.188875519964667
-2, 8, -1.188875519964749
17, 1, -1.500042301506668
-1, 8, 0.366261129492396
15, 3, 0.7543278132273404
9, 6, -0.7543278132274586
0, 8, 0.4459267614960725
6, 7, 9.776718983946409e-14
18, 0, -0.5839887396063731
12, 5, -0.9336936943573262
1, 8, -0.9336936943572574
14, 4, -0.4756927537734527
10, 6, -0.3439151506182188
2, 8, 0.3439151506183589
17, 2, 0.6819539921708779
7, 7, 0.513726577439258
18, 1, -0.1967569349289711
16, 3, 1.050744154880048
3, 8, 1.304951003087306
13, 5, -1.190235444499452
19, 0, 1.000000000000008
15, 4, 0.7177582713081758
8, 7, -0.7177582713080899
11, 6, -0.3287481236690827
4, 8, 0.09459541881598083
18, 2, 5.344906030417006e-13
19, 1, 0.8823461235870709
17, 3, -0.8823461235869657
5, 8, -0.8823461235869999
-4, 9, 0.8823461235874763
-3, 9, 1.553230959990503
9, 7, -0.4887361596958813
14, 5, -0.1884299357048606
-2, 9, 0.1884299357047882
12, 6, 1.392884384621551
-1, 9, -0.2349955291210736
20, 0, -0.1281368696888494
16, 4, -0.503651933916916
6, 8, 0.8306148338655149
0, 9, 0.4334181265885189
10, 7, 0.3530442424474805
1, 9, -0.3530442424474212
19, 2, 1.92352555707936
18, 3, -1.093913824492294
20, 1, 1.003252617451503
15, 5, 0.2552430383965016
7, 8, 1.003252617451551
13, 6, 0.9312319132117129
2, 9, 0.931231913211644
17, 4, -4.172581014825553e-14
21, 0, 2.002738286810926
3, 9, -0.6018811184720345
11, 7, 0.3773406862951864
8, 8, 1.1839343355787
4, 9, 1.949769075292751
20, 2, 0.04091643308337477
14, 6, -0.04091643308327647
16, 5, -1.18864823194936
19, 3, -1.068265968553898
21, 1, -0.3086856223952533
12, 7, -1.816832539582184
9, 8, 1.816832539582235
5, 9, 1.146932248399365e-13
-5, 10, 8.592005569650276e-15
18, 4, -0.9130937869183878
-4, 10, -0.9130937869184974
-3, 10, 0.4438620371483545
22, 0, -1.629273262664874
-2, 10, -1.022469178635453
-1, 10, -0.7088492976540296
15, 6, -1.033755104497646
6, 9, 1.033755104497533
17, 5, 1.53541660036487
10, 8, -0.4911251045611512
0, 10, 0.2178503029997149
21, 2, 0.596551261148375
20, 3, -0.6164562786844271
13, 7, 0.6164562786804769
22, 1, 1.905646252752502
1, 10, -1.90564625275228
19, 4, 1.279563878799331
7, 9, 1.279563878799449
2, 10, 0.5680742005001103
23, 0, 0.02241797385549703
11, 8, 0.9775820261444538
16, 6, 9.129754070233815e-14
18, 5, 0.7040274300263845
14, 7, -2.342626551666617
3, 10, -0.7040274300263608
8, 9, 0.4601506337263933
22, 2, -0.2507008383015765
21, 3, 1.091029606204786
4, 10, -1.050202549940686
23, 1, -0.4934009224115793
20, 4, -0.3402030395508776
12, 8, 0.3402030395508787
9, 9, 1.150723944014219
17, 6, 1.117443152698971
5, 10, -0.03036689335068877
-5, 11, 0.1193594365172028
15, 7, -0.1193594365172728
24, 0, 1.387095302033146
-4, 11, -1.01994975059672
19, 5, 0.9373315008267653
-3, 11, 0.9373315008267747
-2, 11, -0.3932453111934315
13, 8, -1.768488379514751
23, 2, 0.6776695708083249
22, 3, -0.6776695708083847
10, 9, 0.6776695708084234
-1, 11, -0.6776695708083156
6, 10, 0.4939847623600053
24, 1, 0.7588445561426953
21, 4, -0.7588445561426065
0, 11, 1.209195515792234
18, 6, -1.069779010616271
16, 7, 0.03231642372831349
1, 11, 0.6947709396735213
7, 10, 1.262589729215587
25, 0, 0.6355023508101831
20, 5, 0.3644976491898328
11, 9, 0.4326863639530397
14, 8, 0.06563496338885762
2, 11, 0.07668834261513892
23, 3, -0.7121305170354503
24, 2, 0.1086330182432665
8, 10, -0.108633018243249
3, 11, 0.2277013286695893
22, 4, -1.015520917656663
17, 7, -0.5152139055010703
25, 1, -0.4216068547999611
19, 6, 0.4216068548001609
12, 9, 2.232651664112608
15, 8, 1.717348641265972e-13
4, 11, -2.71183369591367e-14
21, 5, -1.276190174712961
9, 10, -1.276190174712701
26, 0, 0.6631201628016341
-6, 12, 2.927637438253221e-15
5, 11, 0.1860622993235207
-5, 12, 0.1860622993248753
-4, 12, -0.7005096251922979
13, 9, 0.9429598475225295
24, 3, -2.744616983041478
-3, 12, 2.744616983039432
25, 2, 0.7794273945086357
18, 7, -0.7794273945086434
20, 6, -0.5783919603132099
10, 10, -0.1471518925205101
-2, 12, -0.5783919603128314
23, 4, 0.3426474515325115
16, 8, -1.622501704608413
26, 1, -1.63668973861866
6, 11, 1.636689738618984
-1, 12, -0.1831968731715283
22, 5, -0.2537042918095357
0, 12, -0.398581258873301
14, 9, -0.6189070648966535
27, 0, -0.05267110031807624
11, 10, 1.395384525886126
7, 11, -1.395384525886181
1, 12, 1.558877476676335
19, 7, 0.07394460481600139
25, 3, -0.3666199975185593
17, 8, 0.3666199975186612
21, 6, 1.098175871898323
26, 2, 1.251333102876803
2, 12, 1.251333102876716
24, 4, 0.4933568689542289
8, 11, -0.2993360963255411
27, 1, -0.7198901095480938
12, 10, 0.2475403814857393
15, 9, 0.7939564296354952
3, 12, -0.793956429635517
23, 5, -0.1080546055268157
28, 0, -0.9032381421579704
4, 12, 0.2714493385524672
20, 7, -0.04871221128309047
9, 11, 0.04871221128316412
18, 8, -0.7535072942354191
22, 6, 1.012289334098793
26, 3, -0.9827452984576315
13, 10, -0.9827452984576499
27, 2, -2.611558935791382
-6, 13, 2.611558935791488
25, 4, 0.08062401902533123
16, 9, -0.08062401902519656
5, 12, -0.08062401902517634
-5, 13, -0.08062401902533969
-4, 13, 0.7415704968950186
10, 11, 0.7536877747660415
-3, 13, -0.7536877747661341
28, 1, 7.17421440247621e-14
24, 5, -0.1013663488032466
-2, 13, -0.5827694916602252
6, 12, 0.1272742454732881
21, 7, 1.799210862261195
19, 8, -0.5407152064132682
-1, 13, 0.5407152064131447
14, 10, 2.009215293610157e-14
29, 0, 1.607562487228765
0, 13, -0.492146987043921
23, 6, 2.014730226932164
11, 11, 3.210410796541974
17, 9, -2.014730226931998
7, 12, -0.06014375386464779
27, 3, 1.317898814796087e-13
1, 13, 1.205789092152802
28, 2, -0.3029994006273825
26, 4, 0.3029994006272435
29, 1, 0.9677402644902244
25, 5, -0.4292643725319187
15, 10, 0.4292643725318762
2, 13, -0.967740264490218
20, 8, 0.4662251908708561
8, 12, -0.4662251908707796
12, 11, 0.5186086689714389
22, 7, 0.7025115398211537
18, 9, -1.576989115519073
3, 13, 6.554185368229284e-14
30, 0, -0.172402888122353
24, 6, -0.6776429627676728
9, 12, -1.917542704101331
28, 3, -1.284549245825763
4, 13, -1.28454924582542
16, 10, 0.04852575286969557
27, 4, -1.119365049629006
13, 11, 1.119365049629313
29, 2, 1.218640493450871
21, 8, -1.530356930874493
26, 5, 2.89305826605938e-14
-7, 14, 5.091704860069308e-15
-6, 14, -0.4822061228351667
30, 1, -0.9287001827344394
23, 7, 0.9287001827339516
5, 13, -0.9287001827347857
-5, 14, -0.9287001827341621
19, 9, 0.4624260588346707
10, 12, 0.2133972613846692
-4, 14, -0.2133972613846211
-3, 14, 1.609638931155811
25, 6, -0.1837167073995215
14, 11, 0.1837167073994666
-2, 14, 0.2419307746242263
17, 10, 0.4939948972514885
6, 13, 0.4939948972505085
31, 0, 0.8309957896628366
-1, 14, 0.1269404499773946
29, 3, 2.069377606658065
11, 12, -2.069377606658157
28, 4, -0.4920560819344773
30, 2, 0.1174130717475211
22, 8, -0.1174130717476561
0, 14, -0.3906878733094816
20, 9, 0.5592294811346674
7, 13, -0.5592294811345095
27, 5, -0.166012336113061
24, 7, 0.1660123361130335
15, 11, -0.7512893948032191
1, 14, 0.7512893948029854
31, 1, -0.7390487501891494
18, 10, 0.6697745511136204
12, 12, -1.058232155241946
26, 6, -0.1488741832882572
2, 14, 0.1488741832882093
8, 13, 1.817669561486578
32, 0, -1.008954206357689
3, 14, -0.3657036296959617
23, 8, -0.3826007631469006
30, 3, -0.09445895322092192
21, 9, 0.09445895322068089
29, 4, 0.9801541876237966
16, 11, 0.9801541876238735
31, 2, -0.9733750935148409
9, 13, 0.9733750935149227
25, 7, -4.741342786984957e-15
13, 12, 7.186161914973442e-14
28, 5, -0.5972284607979874
19, 10, 0.2915382995646547
4, 14, -0.658357326044085
32, 1, -1.130419428953324
-7, 15, 1.860540400024677
27, 6, 2.107952155293519
-6, 15, 2.107952155293441
-5, 15, 0.2248766520154893
10, 13, 0.8838951736180073
5, 14, -0.8838951736180034
17, 11, 0.1169196302341165
-4, 15, 0.1169196302342735
14, 12, 1.054646615983738
22, 9, -0.4969936502240074
24, 8, 1.246132333338179
33, 0, 3.76131141707489
-3, 15, 2.360454248735989
31, 3, -0.1293307881020419
-2, 15, 0.1293307881020138
30, 4, 0.7926469512185912
20, 10, 0.2016616878793504
6, 14, 0.7926469512185226
26, 7, 0.1179346565640413
32, 2, -0.548431985505802
11, 13, 0.8383007572191665
29, 5, 2.242972275591186
-1, 15, -2.242972275591187
0, 15, -0.5029253536921833
15, 12, 1.133802723785515
33, 1, 0.06433022075512747
18, 11, -0.06433022075512468
7, 14, -0.2140565506230697
28, 6, -0.7050680707304031
23, 9, 2.00103898644166
1, 15, 2.001038986441628
25, 8, -0.03601429184117458
12, 13, 0.03601429184121609
21, 10, -1.805544042314015
34, 0, -0.961063174751996
8, 14, -0.3542590907225748
2, 15, -9.030454576350089e-14
27, 7, -1.162865076406404
32, 3, 0.3578782606828259
31, 4, -0.357878260682904
16, 12, -1.006929439787217
33, 2, -0.6225121535232908
30, 5, -0.1583767545083714
19, 11, -0.6225121535232576
3, 15, -1.311446044717824
13, 13, -1.306648908349535
9, 14, -1.463712589216148
34, 1, -0.1795534331223974
29, 6, 0.1795534331223486
24, 9, 1.021513180113467e-13
4, 15, 0.4115195166839981
26, 8, -0.8044625822834507
22, 10, 0.804462582283643
17, 12, -0.5304402456872498
-8, 16, 2.203836124301279e-15
-7, 16, -1.024924610074891
10, 14, -0.212834617170368
-6, 16, 0.2128346171703006
14, 13, -1.36856331237809
35, 0, 0.2899562862202486
28, 7, 1.139695738322589
20, 11, -0.3425117251798042
5, 15, -0.08714029936292385
-5, 16, 0.3425117251797685
32, 4, 1.237826610208015
-4, 16, -1.237826610208189
33, 3, 0.5787635180552003
31, 5, 2.005759390615946
-3, 16, 2.005759390616097
34, 2, 0.9102317947708081
6, 15, 2.424479018867655
-2, 16, -0.222248749197031
25, 9, -0.4970856653436938
11, 14, 0.4970856653437645
23, 10, -1.109928524825744
30, 6, -0.4577291977631492
18, 12, 0.4577291977635425
35, 1, -0.1104897496169315
27, 8, 0.1104897496169363
15, 13, 0.1104897496171052
-1, 16, -0.1104897496168661
21, 11, -0.9011696540334236
7, 15, 0.6083215075952993
0, 16, 0.01393651394544827
29, 7, -0.8281744662273632
12, 14, -1.070785759625811e-13
36, 0, -0.6080340538664818
1, 16, 1.335329964418728
33, 4, -0.212738567201297
34, 3, -1.848281233633694
32, 5, -2.465696452279669
8, 15, -2.465696452279454
19, 12, -2.465696452279508
16, 13, 2.465696452278999
35, 2, 0.488612158981679
26, 9, -0.4886121589816981
24, 10, 0.5665691469689401
2, 16, 0.566569146968562
31, 6, -0.5186081952100725
28, 8, -0.4952790590910062
22, 11, -2.761051123603983
13, 14, 1.122452001963268
36, 1, -0.4877673570861502
3, 16, 0.4877673570888134
9, 15, -1.140404479162996
30, 7, -0.7827256409446581
17, 13, 0.7827256409457121
20, 12, -0.3580756083716904
4, 16, 0.3580756083716318
37, 0, 1.992423299306903
34, 4, -0.4138124675692491
14, 14, -0.3117313852642114
-8, 17, 0.009012635584783324
35, 3, -1.326222393901129
25, 10, 0.5882777069895501
10, 15, -0.5882777069892274
-7, 17, 1.326222393901025
27, 9, 1.211177233644213
33, 5, 1.48475274720328
-6, 17, -1.48475274720357
5, 16, 0.4070290188805272
-5, 17, 0.407029018880511
23, 11, -2.815827128773812e-13
36, 2, 0.1193929116756845
29, 8, -1.99467129418164
-4, 17, -1.994671294181313
32, 6, -0.6375958444507712
18, 13, -0.1166113593923974
-3, 17, -0.1166113593922979
37, 1, 0.986574217112868
11, 15, 0.9865742171126184
6, 16, -0.7918495981314596
21, 12, -0.1515237147817603
15, 14, 0.5232794086739565
-2, 17, -0.5232794086739613
31, 7, -0.2162420580216296
-1, 17, 0.3680759047019733
26, 10, 0.722239728678616
28, 9, 1.534013877732365
7, 16, -1.534013877732227
38, 0, -0.606804084029269
35, 4, 0.2629199863192933
24, 11, -0.2629199863194825
0, 17, 0.7132709459692077
36, 3, -0.2507882631798111
12, 15, 0.2507882631797827
34, 5, 1.21526360853127
19, 13, 1.490943197954308
30, 8, -0.43553865037546
16, 14, 0.4355386503753965
37, 2, -1.477870260446988e-14
1, 17, -5.852519468538488e-14
33, 6, 2.344413616420069
22, 12, 0.1994857040593468
8, 16, -0.1482554349182225
2, 17, 0.211658598865031
38, 1, -0.123346954701684
13, 15, -1.286044287647098
32, 7, -1.494692528801764
27, 10, 0.6964422276283049
25, 11, -0.5970468977861312
20, 13, 0.5970468977860356
9, 16, 0.5970468977860591
3, 17, -0.5970468977860452
29, 9, -0.6769865006631077
17, 14, -0.6769865006631044
36, 4, 6.115241917209957e-14
39, 0, -1.53086747103431
37, 3, 0.6208708350782834
35, 5, 0.1579591776193013
23, 12, 0.6208708350782493
31, 8, -2.835941650969312
4, 17, 2.835941650969342
14, 15, 0.7143311748206727
-9, 18, -3.860766415281102e-15
38, 2, -0.5354112313199577
34, 6, 0.5354112313200482
10, 16, 0.5354112313199316
-8, 18, -0.5354112313199914
-7, 18, -1.34684951389019
-6, 18, -0.9425068899630815
5, 17, -0.6755454899985112
-5, 18, -0.6755454899986131
18, 14, 0.2965670977159636
21, 13, 0.49108429291486
28, 10, 0.1143400545390901
-4, 18, -0.1143400545390055
39, 1, 0.1649460511493553
33, 7, -0.1649460511492936
26, 11, -0.4401065819330371
30, 9, 1.335265442404498
15, 15, 0.3397122545770819
-3, 18, 1.335265442404535
11, 16, 1.404935511072822e-14
6, 17, -0.3751672946231679
24, 12, 1.450235392414316
-2, 18, 0.1425962467992374
37, 4, 0.6072015385084149
40, 0, 0.2008235449731592
32, 8, 0.7893525653279376
36, 5, 1.011568067080986
38, 3, -0.09561784661525137
-1, 18, 0.09561784661522341
19, 14, 0.9348453934700262
7, 17, -0.8928244021832034
35, 6, 6.723520434422152e-14
22, 13, -6.064655276924482e-15
12, 16, 0.8648147993009955
39, 2, -0.6036397726871553
0, 18, -0.2629998893062903
16, 15, 0.6163256330808917
29, 10, 0.950165806057653
27, 11, -0.9501658060575993
34, 7, 1.333944544887878
