d = 19, symClass = C, r = 23.15261175583808, D = 16, Y = 0.1417121994885758
max of |f(z) - f(z^*)| for 100 points = 0.009232484415571451; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 0.0003819683874921043, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 0.0003437847253647819, 
confident_r = 23.1526
1, 0, 1
2, 0, 0.8797170861805408
0, 1, 0.3471442655643296
1, 1, 0.2624610126667516
3, 0, 0.2968890216038313
2, 1, 0.2585275506267374
4, 0, -0.2272446853242698
3, 1, 1.169180894512942
-1, 2, -1.266519978733574e-06
0, 2, 0.3050067733990438
1, 2, 0.3051047374562086
5, 0, 0.09909098717706528
4, 1, 0.8576217188084352
2, 2, 0.230547652573824
5, 1, 0.2960890977965233
3, 2, 0.1138844686321452
6, 0, 0.2615307898397585
-1, 3, 0.16396547048011
4, 2, 0.2278148947844623
0, 3, 0.10292793070707
6, 1, 0.009108162036450656
7, 0, -1.821399589546564
1, 3, -0.9585749863709578
5, 2, 0.2189069462090597
2, 3, 0.03919013641963431
7, 1, -0.6055909220872243
3, 3, 0.07791023153000848
8, 0, -1.079200287167049
6, 2, 1.02754129005084
4, 3, -1.021257752111678
-2, 4, -8.284932848134631e-06
8, 1, -1.122454592678822
-1, 4, -1.258432729469148
0, 4, -0.07890070877473121
9, 0, -0.9122290521058
7, 2, 0.6053162718969733
5, 3, 0.5139178106799737
1, 4, -0.2984172016159401
2, 4, 0.2679449579094772
9, 1, -0.05736101711332912
6, 3, 0.07683537543524985
10, 0, 0.08704929435030245
8, 2, 0.754313340531712
3, 4, -0.6242403126550574
4, 4, -0.05956356648935865
10, 1, -0.08057888670063845
7, 3, -0.2921734121669848
9, 2, -0.6868047528364789
-2, 5, 1.299680759060454
11, 0, -0.6824717816844303
-1, 5, -0.1837884168176298
5, 4, 0.6294391813090571
0, 5, -0.3127387960241867
1, 5, 0.5052208009737589
8, 3, 0.5339444109668341
11, 1, 0.4627391336261238
2, 5, -0.4998019181216186
10, 2, 0.2601689960558887
6, 4, 0.09994767344507934
12, 0, -0.06709154578128192
3, 5, -0.1774588612260371
9, 3, 0.3469583957718607
7, 4, 0.1340788865365075
12, 1, 1.800793943708583
4, 5, 1.641151226888551
11, 2, 0.6714423242232292
13, 0, -0.6288740187462022
-3, 6, 2.048306226719045e-06
-2, 6, 0.1437269981076573
10, 3, 0.366945150031211
5, 5, 0.02578731766051166
-1, 6, 0.08277092697775051
8, 4, -0.05858939756888592
0, 6, 0.0906416916206978
13, 1, -0.3234331582016682
1, 6, 0.9276044776578036
12, 2, 0.007798709470217178
6, 5, -0.7721078632279779
14, 0, -1.601532844998041
2, 6, -0.8425434821216657
9, 4, 0.2368550827136386
11, 3, 1.071966209477149
3, 6, 0.09067532568429977
7, 5, 0.3362182059204849
14, 1, -0.141718238731119
13, 2, -0.2553533033150127
10, 4, 0.1926241545366444
4, 6, 0.03548037221843793
15, 0, 0.03000503170822013
12, 3, 0.2553182497768242
8, 5, 0.3448099756623083
-3, 7, -0.4629737551599543
5, 6, 0.1380273882389971
-2, 7, 0.1319369699058983
-1, 7, 0.8775809808130579
14, 2, -0.533112465445637
15, 1, -0.2260099699306247
11, 4, 0.4400279513719716
0, 7, -0.6322886988608297
9, 5, 0.05725468837216717
6, 6, 0.06831396628583068
13, 3, 1.161831425129705
1, 7, 1.004008268601368
16, 0, -0.7215064360333789
2, 7, -0.8833779250342347
7, 6, 0.2895976007455127
12, 4, -0.2650062968763569
15, 2, 0.3112806655109762
10, 5, 0.02536888420001642
3, 7, 0.1324358194295689
16, 1, 0.0137805014643966
14, 3, 0.7431428726415504
17, 0, 0.8439685082751709
4, 7, 0.8893656245250858
8, 6, -0.8992282515001835
13, 4, 1.874184553835441
11, 5, 1.787584346181477
-4, 8, -2.789633188110301e-06
5, 7, -0.3075884739695129
-3, 8, 0.112172984105183
16, 2, -0.9870801414583579
-2, 8, -1.106040973185842
17, 1, 0.6000055292389428
-1, 8, 0.3279139055400671
15, 3, 0.08824511577927965
9, 6, 0.03404070642822755
0, 8, -0.3748575213953341
6, 7, 0.2806706379127138
18, 0, -0.8019493404959651
12, 5, -1.243066245812188
1, 8, 1.248352867359577
14, 4, 0.5323846449534866
10, 6, 0.4516593974365289
2, 8, -0.2616850420293493
17, 2, -0.9800049602969239
7, 7, -0.7401786328142679
18, 1, 0.9780844188999348
16, 3, 1.206443963644481
3, 8, -0.1383933195122579
13, 5, -0.464276499510712
19, 0, 0.849763820960281
15, 4, -0.4312427692869594
8, 7, 0.2781340463345994
11, 6, -1.392145854142124
4, 8, -0.06926239633634251
18, 2, -0.05034936930979661
19, 1, -0.3531841445842205
17, 3, 0.5225540115492654
5, 8, -0.3683077462507007
-4, 9, 0.4095588261379136
-3, 9, 0.0445757935549656
9, 7, -0.8805160517044286
14, 5, 1.262765954532909
-2, 9, 0.5498196035292733
12, 6, 0.06832229774276068
-1, 9, 0.4641755629639683
20, 0, -0.02229342928061353
16, 4, -0.1940302804501022
6, 8, -0.5486572946545917
0, 9, -0.3165917479373745
10, 7, 0.03408728479994518
1, 9, -0.3864970950889786
19, 2, -1.059269607327491
18, 3, 0.002710507502315096
20, 1, 1.077155012191199
15, 5, 0.1149583233091708
7, 8, 0.9274046684938281
13, 6, 0.7472144239180337
2, 9, -1.064345935501015
17, 4, -0.4862065919786515
21, 0, -0.5410043920054156
3, 9, -0.2847856381503803
11, 7, 0.6366996766412523
8, 8, -0.2831987595689021
4, 9, 1.330524666316524
20, 2, -0.07074738636127305
14, 6, -0.2566698880425579
16, 5, 0.1617389194231794
19, 3, -1.20451219541168
21, 1, -0.02550322365738188
12, 7, 1.195975248402909
9, 8, 1.111750582954748
5, 9, -0.03951119521512766
-5, 10, 1.485991842973354e-06
18, 4, -0.6038776708719307
-4, 10, 1.142962267381893
-3, 10, -0.9778931591295766
22, 0, -0.6000113713203975
-2, 10, -0.1618653978387821
-1, 10, 0.2908755763880214
15, 6, 0.06500264716915763
6, 9, 0.01166978135443797
17, 5, -0.07991159119570893
10, 8, 0.5534387369200602
0, 10, -0.2759011560856336
21, 2, 0.08366079548617592
20, 3, -0.3380257458392458
13, 7, 0.09624087960532898
22, 1, 0.4402792789449606
1, 10, 0.9769853945281419
19, 4, -0.7846569784195232
7, 9, 0.7878317865215628
2, 10, 0.4448855167595129
23, 0, -1.473131295861402
11, 8, -0.656876485150247
16, 6, 0.469867728762458
18, 5, -0.8711099364147342
14, 7, -0.4722036284701988
3, 10, -0.3762759209019863
8, 9, 0.1630755122538241
22, 2, 0.4066454359849341
21, 3, -0.1799111464277245
4, 10, -0.4389438386047083
23, 1, -0.5048745791610879
20, 4, -0.0673652416392567
12, 8, -0.02555672075502151
9, 9, -0.2390121588894023
17, 6, 1.048896682538071
5, 10, 0.02981244976835251
-5, 11, -0.390617374054295
15, 7, 0.1321422531414184
24, 0, -0.3204952415382988
-4, 11, 1.392399176390566
19, 5, 1.781602749297527
-3, 11, -1.46393973236315
-2, 11, -0.712076182515574
13, 8, -0.04057394013377714
23, 2, 0.7191881340368884
22, 3, -0.1835940890294933
10, 9, -0.02670039603952612
-1, 11, 0.4499791581812668
6, 10, -0.1556820132920625
24, 1, 0.003402560868614959
21, 4, 0.1304356609542915
0, 11, -0.2371227668830727
18, 6, 0.3056203883849378
16, 7, -0.3878986412699013
1, 11, 1.232765639630956
7, 10, -1.78066558847707
25, 0, 0.7238092868128367
20, 5, 0.1827485497790204
11, 9, 0.6031354329440531
14, 8, 0.1170247904234215
2, 11, -1.062965067471899
23, 3, 0.6571009460387115
24, 2, 1.583080775855897
8, 10, 1.442722542956082
3, 11, 0.6498762095418994
22, 4, 0.5902869821907258
17, 7, 0.1592682325923798
25, 1, 0.06757236419350836
19, 6, -0.2825721440264046
12, 9, -0.3039578820211741
15, 8, 0.1709553720649927
4, 11, -0.199526710455543
21, 5, 0.4135013811590821
9, 10, -0.7266879980980796
26, 0, -0.5533622446411453
-6, 12, -1.419192641800636e-05
5, 11, 0.1694752929955971
-5, 12, 0.1518148599006019
-4, 12, -0.03610423184650979
13, 9, -0.4993685987266086
24, 3, -0.3355582213979725
-3, 12, -0.3736445166749985
25, 2, -0.1462806393231245
18, 7, 0.2018029744110612
20, 6, 0.3233303813069831
10, 10, 0.01602894411517394
-2, 12, 0.07495951541757792
23, 4, 0.1185319886504049
16, 8, -0.2816246786922556
26, 1, 0.9474504213837986
6, 11, 1.279522736816907
-1, 12, -0.4534482225145841
22, 5, -0.6565605763986404
0, 12, -0.02325669018578999
14, 9, -0.4641176907354655
27, 0, -0.568093052502524
11, 10, 1.154596224816302
7, 11, 0.770453185934366
1, 12, -0.2014177455316078
19, 7, -0.4173413801220967
25, 3, 0.05129987404733063
17, 8, 0.173207721589612
21, 6, 0.1799212348442805
26, 2, -0.2845190207224728
2, 12, 0.8162571467350285
24, 4, -0.002512188590093121
8, 11, -0.07910312443367466
27, 1, 0.1820705934582175
12, 10, -0.678598409816493
15, 9, 0.152441745694828
3, 12, -0.08863062127805188
23, 5, -0.5550420260926456
28, 0, 0.4136439089865602
4, 12, 0.2176239733253486
20, 7, -0.15587162865916
9, 11, -0.2478903020512941
18, 8, 0.2085499129134456
22, 6, 0.9429121836803263
26, 3, -0.6443653945122924
13, 10, 0.6651267679593222
27, 2, 0.1821454147480165
-6, 13, 0.7107000476027389
25, 4, 0.5834152411634899
16, 9, -0.5555988622285245
5, 12, 0.5136299899251681
-5, 13, 0.7364891621983941
-4, 13, 0.8079423414054188
10, 11, 0.117561505437064
-3, 13, -0.3486995913577665
28, 1, -0.5168347125780774
24, 5, -0.6963146268020952
-2, 13, 1.333668286226214
6, 12, 0.07935983169156659
21, 7, -2.129458708357717
19, 8, -1.642418503785487
-1, 13, 0.6003477718602936
14, 10, 0.2954082443796185
29, 0, 1.179912479310636
0, 13, -0.2187423510120282
23, 6, -0.6633756696562294
11, 11, -0.1791643195283631
17, 9, -0.567197208603343
7, 12, 0.2815932253627285
27, 3, -0.01682335704468845
1, 13, 0.2165310767411276
28, 2, -0.1237671621350056
26, 4, -0.2247861024141723
29, 1, 0.4956703850996312
25, 5, 0.1426551821654289
15, 10, 0.3069547606216135
2, 13, 0.1656692059590259
20, 8, -0.04966290961217976
8, 12, -0.008936258927842351
12, 11, -0.6391969746032009
22, 7, 1.739211365998828
18, 9, -0.2361399548857532
3, 13, 0.3516438527387266
30, 0, 0.02582340706792982
24, 6, 0.2238719350612266
9, 12, -0.1852469696097797
28, 3, 1.178869656688673
4, 13, -0.8649308206630569
16, 10, 0.3027858429753603
27, 4, 1.12210543061698
13, 11, 0.8575040754183441
29, 2, -0.6593885095084311
21, 8, 0.8710515238904472
26, 5, 0.2796495190294134
-7, 14, -3.443873516898597e-06
-6, 14, -0.4083203359283497
30, 1, 0.5002531198738779
23, 7, -0.1438371162908145
5, 13, 0.01060934744764586
-5, 14, -0.2354828157736696
19, 9, 0.02354284486763975
10, 12, 0.1210791320978078
-4, 14, 0.1164537648706101
-3, 14, -0.6575188946635311
25, 6, -0.4421198527081436
14, 11, 0.0951683838312723
-2, 14, 0.77124588747158
17, 10, 0.03957288411201695
6, 13, 0.1943180118310141
31, 0, 0.8265231065456831
-1, 14, 0.9942319956951198
29, 3, -0.4022319002120894
11, 12, -0.1446378306580153
28, 4, 0.1370257834607272
30, 2, -0.1996000728340724
22, 8, 0.3865803470600818
0, 14, -0.5555215087013839
20, 9, 0.004466824608858509
7, 13, -0.1614304531845726
27, 5, -1.617708191501567
24, 7, -1.716436929621189
15, 11, 0.323581914272586
1, 14, -0.4220692465015629
31, 1, 0.5184315874046576
18, 10, 0.05073141942086187
12, 12, -0.01776382778818944
26, 6, 1.022141369595209
2, 14, 0.883106598250975
8, 13, 0.3673752656945524
32, 0, 0.4445055387586314
3, 14, -0.5930832612869354
23, 8, 0.3253175039507177
30, 3, -0.02352243507804565
21, 9, -0.08679901277309778
29, 4, -0.2323231509706239
16, 11, -1.184422073578135
31, 2, -1.082595892659
9, 13, -0.9901534470817465
25, 7, 0.1016051089838492
13, 12, -0.1313307919557797
28, 5, -0.01748701310744146
19, 10, 1.606130269376369
4, 14, -0.7763222441138401
32, 1, 0.9891041060073084
-7, 15, -0.9010837173683326
27, 6, -0.2040290131324339
-6, 15, 0.385668440997745
-5, 15, 0.01554408662922846
10, 13, 0.002571262435918462
5, 14, -0.2781633992215379
17, 11, 1.136112671377699
-4, 15, -1.130877093379492
14, 12, 0.2543818204463507
22, 9, -0.1906874889726174
24, 8, -1.26085307681967
33, 0, -0.2028447389903184
-3, 15, -0.05441121451229008
31, 3, 1.901977265903121
-2, 15, 1.832178522897953
30, 4, 0.273785044637057
20, 10, 0.02202318381663122
6, 14, 0.1158622775098436
26, 7, 0.5707273323726401
32, 2, 0.01213261273444018
11, 13, -0.2015710881226425
29, 5, 0.5407881717990105
-1, 15, 0.8638296759265082
0, 15, -0.09303087911942071
15, 12, 0.1871051729163132
33, 1, 0.6099369484501405
18, 11, 1.193731474125833
7, 14, -0.5549159906879345
28, 6, 0.6528130559946554
23, 9, 1.241018072441392
1, 15, -0.889026745475117
25, 8, 0.113279606965524
12, 13, -0.1262461610617583
21, 10, -0.9968237265398373
34, 0, 0.7436016829120797
8, 14, 0.78182116453303
2, 15, -0.2558502484774128
27, 7, 0.2797372234043353
32, 3, -0.05134026342552759
31, 4, 0.2692286669878654
16, 12, 0.2319314609211653
33, 2, 0.1011650306520761
30, 5, 0.0005000547824730471
19, 11, -0.08617036492541237
3, 15, 0.1495624120112619
13, 13, -0.1646525671427357
9, 14, 0.5590349369183161
34, 1, 0.2625823747962933
29, 6, -0.3472721689890841
24, 9, 0.1588274803548671
4, 15, -0.3278824149291747
26, 8, 1.648053385218585
22, 10, 1.572698121700441
17, 12, -0.2873656961023176
-8, 16, 2.582453083304574e-06
-7, 16, 0.03140458778429155
10, 14, -0.2711531644917642
-6, 16, 0.09857301375609386
14, 13, 0.164853770879766
35, 0, -0.1796735769579073
28, 7, -1.562021604656315
20, 11, -0.7472570733269076
5, 15, -0.09356289772296215
-5, 16, 0.8967315085407331
32, 4, 0.2543568551714314
-4, 16, 0.2854982678939084
33, 3, 0.1375206585603834
31, 5, -0.8215343697100216
-3, 16, -1.566683338630695
34, 2, 0.527054612869857
6, 15, -0.1483663817790745
-2, 16, 0.2881802136200927
25, 9, 0.0501259984858791
11, 14, 0.01021509910602717
23, 10, 0.2194376278499871
30, 6, 0.07764363663113658
18, 12, 0.0297012111138064
35, 1, 0.3399326780154827
27, 8, -0.3574874345967308
15, 13, 0.3157135332798404
-1, 16, -0.4910021836948876
21, 11, 0.4263020012998543
7, 15, -0.996619461651611
0, 16, -0.2505914973416195
29, 7, 0.08143258817053307
12, 14, 0.2470359698080304
36, 0, 0.2070650054747841
1, 16, 0.299282298008942
33, 4, 0.5044304563540422
34, 3, -0.2172313098968458
32, 5, -1.404969316766056
8, 15, 1.049400661441657
19, 12, -1.219340053950707
16, 13, -1.891295207458501
35, 2, -0.3466999856193687
26, 9, 0.2662818943269524
24, 10, -1.094055052952536
2, 16, 1.097792723863293
31, 6, 0.1804901618206637
28, 8, -0.1376236784991051
22, 11, -0.4353285705216551
13, 14, -0.08150555846001846
36, 1, 1.419414118079457
3, 16, 1.821988862058993
9, 15, -0.05326173388342438
30, 7, 0.1090460067513067
17, 13, -0.08354512041040714
20, 12, -0.1176537389597232
4, 16, 0.07054598666141815
37, 0, -1.18560575744334
34, 4, -0.8617609615955263
14, 14, -0.6497356082693174
-8, 17, -0.875820607240742
35, 3, 0.370045756489376
25, 10, 0.06180376589451229
10, 15, 0.2225136981517671
-7, 17, 0.045982344294184
27, 9, -1.065277025658947
33, 5, 0.7907070991120674
-6, 17, 0.6670519720503633
5, 16, 0.04141933199412474
-5, 17, -0.0326538317017483
23, 11, -0.1999661733329112
36, 2, 0.8616981115857262
29, 8, 0.734654692147624
-4, 17, -0.1731715690534169
32, 6, 1.059966442841932
18, 13, -1.009290193248212
-3, 17, 0.6389909944563638
37, 1, 1.559762103296486
11, 15, -0.1451952203284909
6, 16, -0.1215996450091869
21, 12, 0.0400581521395544
15, 14, 0.1851522235443101
-2, 17, -0.3299806169598449
31, 7, -0.06769572388765124
-1, 17, 0.3196470259043893
26, 10, -0.4083245789919983
28, 9, 0.753692326090856
7, 16, 0.4926790424190802
38, 0, 0.7463746856806581
35, 4, 0.5601734274304775
24, 11, -0.05731535197463115
0, 17, 0.293326026491563
36, 3, 0.5344605874433453
12, 15, 0.4874330503660348
34, 5, -1.068438926947099
19, 13, 0.6070847401964238
30, 8, -0.3790844302453624
16, 14, 0.2448056422964679
37, 2, 0.2258603359538975
1, 17, 0.05047527007672716
33, 6, 0.1995913022496328
22, 12, -1.224180574323932
8, 16, -0.3287932334526947
2, 17, 1.112552062916086
38, 1, -0.2266707345078146
13, 15, -0.3085559813043438
32, 7, -0.008005258841718998
27, 10, 1.042392497790055
25, 11, 0.6023158002723953
20, 13, 0.5652231306316502
9, 16, -0.6395510576964571
3, 17, -0.7366063632686203
29, 9, 0.0696849038084795
17, 14, 0.1694475440951631
36, 4, 0.01248273756949171
39, 0, -0.1868933561128184
37, 3, -0.5874880377945148
35, 5, -0.05961494761045198
23, 12, -0.4514816744092553
31, 8, -0.300360427824422
4, 17, -0.0422693141015618
14, 15, 1.026064813458117
-9, 18, -4.383414404319878e-07
38, 2, -0.3077678266432828
34, 6, 0.4604925663313753
10, 16, -0.3260462249465821
-8, 18, 0.3591985572749286
-7, 18, -0.5744291459624135
-6, 18, 0.04275168100330427
5, 17, 0.1336772490701874
-5, 18, 0.2835954897956354
18, 14, -0.7787030097566353
21, 13, -0.5032243808876958
28, 10, 1.108564453355082
-4, 18, 0.4822094910080638
39, 1, -0.08486834042793188
33, 7, -0.3131189963535477
26, 11, -0.9449513979794035
30, 9, 0.1088524946051719
15, 15, 0.007541865684381407
-3, 18, 0.02478788012517907
11, 16, -0.458613127326881
6, 17, -0.3434159534385026
24, 12, -0.01755138705119279
-2, 18, 0.4087534155024982
37, 4, -0.8832932010567192
40, 0, -0.1062047853615754
32, 8, -0.9252603705729269
36, 5, 0.2598470579894115
38, 3, 0.1502898519817893
-1, 18, -0.03032772838052131
19, 14, 1.400760652420409
7, 17, -0.6522454170220231
35, 6, 0.02961056476836002
22, 13, -0.1650757344574622
12, 16, 0.1418009478717296
39, 2, 0.3890824437807693
0, 18, -0.2780425055032529
16, 15, 0.5765047765108365
29, 10, -1.123308086554168
27, 11, -0.8815846731244488
34, 7, -0.6984237170484225
1, 18, -0.6066189959262209
40, 1, 0.4700869259028244
31, 9, -0.3962874350205904
25, 12, -0.4650789792285024
8, 17, 0.3978853508896564
13, 16, 0.3093767485826979
20, 14, 0.03072669671344287
2, 18, -0.3394526805293247
17, 15, 0.2112500474444134
33, 8, 0.6169654370035131
23, 13, 0.1564902141210429
38, 4, -0.9317463381624069
37, 5, -0.9564545299482279
9, 17, -0.3340164615753996
41, 0, -0.3082130170204588
39, 3, -0.09587720102341993
3, 18, 0.2755526896191677
36, 6, 0.002421983450223834
28, 11, -0.1309297237986009
40, 2, 0.9477028888485072
30, 10, 0.1013084680437965
14, 16, 0.815804512998071
26, 12, 0.6567531261855827
4, 18, -0.9361661872913239
35, 7, -0.4249020474524755
21, 14, 0.08841503369035511
10, 17, -0.3205519437831627
-9, 19, 0.360279891401979
32, 9, -0.144070643302527
-8, 19, 1.31666252079321
18, 15, -0.2294315370900061
-7, 19, 0.6389598764693037
41, 1, 1.209784721523144
-6, 19, -1.140974778742882
24, 13, 0.5273773107738912
5, 18, 0.4358161630422092
-5, 19, 0.2427923735281325
15, 16, 0.4011870303386007
-4, 19, -0.4365457842949089
34, 8, -0.4276164818571209
11, 17, -0.2519491032952514
39, 4, -0.2637582328322887
-3, 19, -0.2934253974618026
38, 5, 0.1725149935645758
42, 0, -0.4751748013572135
6, 18, -0.2502418577750776
40, 3, 0.04765604774041967
29, 11, 0.1441305189081633
37, 6, 0.3454151019533453
31, 10, 1.111697389734011
19, 15, -0.1809848018002669
-2, 19, -0.5027116565559132
22, 14, 0.5602302033522764
27, 12, 0.07034049385265427
41, 2, -0.772633429541158
-1, 19, 0.6485034061243351
33, 9, 0.3182295067884676
16, 16, -0.1896134780432606
36, 7, 0.8444134072491432
12, 17, -0.4969899122812551
25, 13, -0.3353675561264968
7, 18, -0.01280436753316705
0, 19, 0.2943813964885386
42, 1, 0.2146895948909973
35, 8, -0.9286400315846778
20, 15, -0.100405050735052
1, 19, -0.8226185727325935
8, 18, 1.169991480353545
23, 14, 0.2264089637617919
30, 11, -0.4596328641854764
13, 17, 0.507207878630629
40, 4, 0.01846955760626998
28, 12, 0.06613548238119271
39, 5, 0.1359703141215055
17, 16, 0.5987863690770273
32, 10, 0.1420074167853656
2, 19, 0.5801937171314234
43, 0, -1.746780488381815
41, 3, -0.8016372771251509
38, 6, -1.058513201059899
26, 13, -0.1625736584322968
9, 18, -0.2776888449395978
34, 9, 0.9005699377216856
42, 2, -0.02232353382246715
3, 19, -1.308686895858258
37, 7, -0.3371248775872127
14, 17, 0.4321561599362161
21, 15, 0.09900938570732855
24, 14, 1.051078231711931
18, 16, 0.9762932739865428
43, 1, -0.009870472939367438
4, 19, -0.1620047946955402
10, 18, -0.03543774688244167
-10, 20, 1.345534686061603e-05
-9, 20, -0.6167818392793293
36, 8, 0.1553758933046896
-8, 20, -0.2943342604406854
31, 11, -0.2612751162827416
29, 12, -1.293542728702634
-7, 20, -1.66167522662703
-6, 20, -0.8597131190372225
33, 10, -0.3155823702346313
41, 4, -0.9491944278168667
40, 5, -0.1103932752018803
27, 13, -0.9746167173325325
15, 17, -1.018501425096228
5, 19, 1.138402931341448
-5, 20, -0.1238706725413119
42, 3, -0.0417240876868805
39, 6, -0.07592104842569414
44, 0, 0.1546148962387467
-4, 20, 0.0417366620726679
22, 15, -0.3386905595402336
11, 18, 0.3458131244727124
35, 9, -0.3285747798632028
19, 16, 0.2867560894180122
-3, 20, -1.471090662915729
43, 2, 0.004991896244072788
38, 7, -0.3752443693504095
25, 14, 0.1859388060909466
6, 19, -0.689423556596906
-2, 20, 0.2558981480815506
16, 17, 0.1634349746715755
30, 12, 0.05664187298666023
12, 18, 0.012748477995524
32, 11, 0.8595551489386313
-1, 20, -0.4780927965110406
44, 1, 0.1379803069491888
37, 8, -0.1692989111804415
7, 19, -0.5930282183605489
28, 13, 1.209820468774761
34, 10, -0.07321465711995087
23, 15, -0.2934379339366207
20, 16, -0.1462627876133053
0, 20, 0.07378955112453969
41, 5, -1.54180203226089
42, 4, 0.07388308788046498
40, 6, -0.2984956959494293
26, 14, 0.08569790383167197
1, 20, 1.20590752266271
8, 19, 1.207635403106064
43, 3, -2.090048384033055
17, 17, 0.2206287996013882
13, 18, -2.556045076511042
45, 0, -0.09210750829760285
36, 9, -0.7808785472879539
39, 7, -0.3765675719892217
44, 2, 0.3884157013032883
2, 20, 0.8583582166259817
31, 12, 0.6259296592238002
33, 11, -0.7970642245985691
21, 16, -0.5391113174604436
9, 19, -0.1085619007985326
24, 15, 0.1036221845738475
29, 13, 0.4391843989711263
38, 8, -0.6880059817381217
14, 18, 0.6917888094107096
3, 20, 0.2789753288764125
45, 1, 0.3975129759316778
35, 10, 0.0587849458661771
18, 17, 0.6408087207956336
27, 14, -0.9462393410505811
10, 19, -0.3833668187832378
-10, 21, -0.3522106678051264
4, 20, -0.113960768270991
-9, 21, -0.137190907079508
42, 5, -0.5028985206016183
43, 4, 0.8204439977419835
-8, 21, 1.219514373491901
41, 6, 0.8033146131774463
37, 9, 1.117514603257167
-7, 21, -0.2982995728357769
44, 3, -1.4983133406374
15, 18, 0.04177096800141864
-6, 21, 0.03936507487203317
46, 0, -1.29481554932613
22, 16, -0.578504774223546
40, 7, 0.9102236723079994
25, 15, -0.2476795547346725
5, 20, 0.483747143218668
-5, 21, 0.5621027433671848
32, 12, -0.1210996633939816
19, 17, 0.7529865814065755
45, 2, -0.5194343147699719
34, 11, 0.2197081677711872
30, 13, 0.1610789942475061
11, 19, -0.3578234981692376
-4, 21, 1.485780103872808
-3, 21, 0.2609307949545718
39, 8, -1.069220293125196
36, 10, -0.7668023494657423
28, 14, -0.4144557398418597
6, 20, -0.3306466004696362
16, 18, 0.1424707808612675
46, 1, 0.5190212084366828
-2, 21, -0.3975062782136006
23, 16, 0.8514400083669329
12, 19, -0.5369225714533913
20, 17, -0.1862776629483181
-1, 21, 0.1505759641854221
43, 5, 0.5625722201438701
7, 20, -0.008676763925470758
38, 9, 1.926925449912831
26, 15, 1.754782712251487
44, 4, -0.1046886187892183
42, 6, -0.1585640406815066
45, 3, -0.06730194848161722
33, 12, 0.1304865549163361
0, 21, -0.1880203216069965
47, 0, -0.8207034729242034
31, 13, -0.1790878896050773
41, 7, -0.1279047266844883
35, 11, 0.08037167597041847
17, 18, -0.3611066022942635
13, 19, 0.1549962984251217
8, 20, 0.1131524914083236
29, 14, 1.109727824296016
1, 21, -0.06942994228194468
46, 2, -0.4434639031239531
37, 10, -0.5684940811749297
40, 8, -0.3188635799824303
24, 16, -0.1227543219197108
21, 17, -0.2878470129091351
2, 21, 0.2590699970412383
27, 15, 0.01688611101338654
47, 1, 0.6977290979660978
9, 20, 0.5508489076921562
14, 19, -0.1303370010026104
18, 18, -0.2102434354291049
39, 9, 0.34525223298028
3, 21, 0.2975033458935972
44, 5, -0.8469275973370538
34, 12, 0.9222681128726944
45, 4, 0.4610627569248602
32, 13, -0.4621783073768748
43, 6, -0.9118434904856175
36, 11, -1.448892731574801
46, 3, 0.1737879435560583
-11, 22, 1.839289983403857e-06
10, 20, 0.02720200765367713
-10, 22, -0.3436260068610775
30, 14, 0.1164603470860116
42, 7, -0.01598788465312858
-9, 22, 0.6444952544576354
22, 17, -0.6611247523624394
48, 0, -0.2136986249714035
25, 16, -0.1596628888746103
4, 21, -0.2715810747216684
-8, 22, 1.223543619223133
-7, 22, 0.4995049168882206
15, 19, -0.3376395501337658
47, 2, -1.204997379511314
19, 18, -0.8251133419309603
38, 10, 1.566527295235341
-6, 22, -1.28714498171898
41, 8, 0.4985744012415672
28, 15, 0.5818870524582246
-5, 22, -0.009092226410665991
5, 21, -0.007402631653378866
11, 20, 0.3128160731548231
-4, 22, -0.6259899301313391
48, 1, 0.3916012295903616
-3, 22, 0.4414265347279909
33, 13, -0.7275255824689887
40, 9, 0.3553376591546452
35, 12, 0.3423998673247728
23, 17, -0.4158301407160335
16, 19, -0.4883019540860449
6, 21, -0.2620425456311189
26, 16, -0.0355696488872707
45, 5, -0.06325587160405376
31, 14, -0.09388835571434644
46, 4, 0.632082412924406
44, 6, -0.1615958779036754
20, 18, -0.02409189767643774
-2, 22, 0.3951930469769986
37, 11, 1.667679384192124
12, 20, 0.03974548824939027
47, 3, -0.2405818905208005
43, 7, 0.4389383945382869
-1, 22, 1.297551345297385
49, 0, 0.3999393610317309
29, 15, 0.5198522452369888
7, 21, -0.07507396422891856
39, 10, -0.3073853966572693
17, 19, 1.205748371161786
48, 2, 0.002801608641693157
42, 8, 0.1146494545096728
0, 22, -0.2084053929112394
24, 17, -0.6317849813114176
13, 20, 1.144536359287548
8, 21, -1.022568650921436
21, 18, 0.08596085381953651
27, 16, -0.2932135858533608
34, 13, 0.479234858147537
1, 22, 0.153424645209254
36, 12, -0.07866977286403413
32, 14, -0.3405034083159216
49, 1, 0.07772768896738862
41, 9, -0.123156402761383
38, 11, -0.477895769257347
2, 22, 1.08348452353207
46, 5, -0.9185404529532059
18, 19, -0.8456391060432162
