d = 19, symClass = D, r = 13.27979030545185, D = 16, Y = 0.09778035861629276
max of |f(z) - f(z^*)| for 100 points = 2.389866082808112e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 1.330463517135172e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 1.616970446427501e-13, 
confident_r = 13.27979030545185
1, 0, 1
2, 0, -0.2869070813118964
0, 1, -0.247629382365964
1, 1, -0.1559125014327236
3, 0, 1.206666620164412
2, 1, -0.1349484320163378
4, 0, -0.9176843266936495
3, 1, 0.5788377054399191
-1, 2, 0.9225360564168773
0, 2, 0.07104662334155327
1, 2, 0.1897557417872869
5, 0, -2.872236212183287
4, 1, 1.994876834204778
2, 2, 0.04473240072593791
5, 1, 1.201898943093513
3, 2, -1.124681910227744
6, 0, -0.3462011981077044
-1, 3, 0.5578121821111692
4, 2, 0.03871766075771348
0, 3, -0.2988061098730369
6, 1, 0.7162659222185578
7, 0, -0.4369895849625641
1, 3, -0.5143929988315395
5, 2, -0.8953533066942534
2, 3, 0.9621877004374775
7, 1, -0.004614153451356155
3, 3, -0.1881344111451024
8, 0, 0.5501972130490792
6, 2, -0.166072636621148
4, 3, -0.6084263919388118
-2, 4, -0.2646821273512359
8, 1, 0.3893404775306928
-1, 4, -0.3472601823307759
0, 4, 0.2272456030261387
9, 0, 0.4560443322189467
7, 2, 0.8229399199386149
5, 3, 1.118623023298152
1, 4, -1.405297470275144
2, 4, -0.05444226603848423
9, 1, -0.2284470338611116
6, 3, -0.1628377683577826
10, 0, 0.8240649084753094
8, 2, -0.5723442900779987
3, 4, 0.4011882172099476
4, 4, 0.143078458900419
10, 1, -0.08828296487893808
7, 3, -0.005695229399253765
9, 2, -0.5906734609533552
-2, 5, 0.4101773917957063
11, 0, -0.2758397226746049
-1, 5, -0.6877381187183805
5, 4, -1.699230315933371
0, 5, 0.9588794615990168
1, 5, -0.2342814886774999
8, 3, -0.1438349042169437
11, 1, -0.5740687299159714
2, 5, 0.8471790278865979
10, 2, -0.3448333177939816
6, 4, 0.3226792042677206
12, 0, -1.107339044868127
3, 5, -0.556250171434481
9, 3, 0.6984641376467106
7, 4, -0.2147350115805395
12, 1, -0.01321036975924292
4, 5, -0.04596021496739368
11, 2, -1.140309171166761
13, 0, 0.1946276896657893
-3, 6, 1.113193465175907
-2, 6, -0.1600402650894591
10, 3, 0.2651035424620876
5, 5, 0.4478175325465398
-1, 6, -0.887156017003478
8, 4, 0.1238400609730809
0, 6, 0.08572958886183051
13, 1, 0.321426173148154
1, 6, -0.4776526546303833
12, 2, -0.2055017651867732
6, 5, 0.7603502396063478
14, 0, 0.1253754063851218
2, 6, 0.1475829939418232
9, 4, -1.098324535621028
11, 3, 0.5029014871112593
3, 6, 0.2289719196007215
7, 5, -0.1244947942910371
14, 1, 1.067688036591415
13, 2, -1.343949408853985
10, 4, 0.2568832039656263
4, 6, -0.2760584648071502
15, 0, -3.465831562466895
12, 3, 2.407151287172824
8, 5, 0.8046677113706384
-3, 7, -0.1755655240818402
5, 6, 0.8508142033159141
-2, 7, -1.20555117917358
-1, 7, 0.998094970502226
14, 2, 0.001323833299394441
15, 1, 0.490121861220627
11, 4, -0.2353642200325725
0, 7, 0.1082114610244245
9, 5, 0.4709525235166834
6, 6, 0.05397709479603455
13, 3, -0.03868096996063432
1, 7, -0.01253350967985334
16, 0, 0.7598288501518916
2, 7, -0.7494686005457037
7, 6, -0.08513693942099164
12, 4, -0.5311902899812996
15, 2, -0.7291872331575563
10, 5, 0.3876037732148187
3, 7, 0.1907762314740874
16, 1, 1.228713611312139
14, 3, 0.8496561773065879
17, 0, -0.2078182179539882
4, 7, -0.1220756035689408
8, 6, 0.1745618403043543
13, 4, -0.565132616059745
11, 5, 0.3911928307749021
-4, 8, -0.8465968797833375
5, 7, -1.924957326044808
-3, 8, 1.927242525983442
16, 2, -0.1117045400446589
-2, 8, 0.09963140536822425
17, 1, 0.9135432314287497
-1, 8, -0.8582534403425339
15, 3, 1.450291335441435
9, 6, -1.357116119373813
0, 8, -0.1362449960468415
6, 7, 0.5339986540822398
18, 0, -0.130842348305422
12, 5, -0.5193966578290398
1, 8, 0.2960470345809031
14, 4, -0.2361072905247445
10, 6, -0.3209408667023854
2, 8, 0.403189795571352
17, 2, 0.09226845904312625
7, 7, 0.2240446407239358
18, 1, 0.1188020109294081
16, 3, 0.6492924932111714
3, 8, 0.9011811272720827
13, 5, 0.625916822571322
19, 0, -0.1489272246119334
15, 4, 1.818063040550847
8, 7, -1.516734537249148
11, 6, -0.04678065603404463
4, 8, -0.174135870138694
18, 2, 0.06554307171885669
19, 1, 0.09816911106061538
17, 3, 0.07381453788116217
5, 8, -0.3982032935060826
-4, 9, 0.2053790095442124
-3, 9, 0.6730933404740166
9, 7, 1.025154044726006
14, 5, 0.1276016150392313
-2, 9, 0.09207394130144954
12, 6, 0.04671930884674928
-1, 9, -0.9763652863768767
20, 0, 2.635806154480895
16, 4, -1.830667204433155
6, 8, -0.115103740456351
0, 9, -0.1129299763186795
10, 7, -0.6302233530372392
1, 9, 0.2226551448400212
19, 2, 0.7812454028969793
18, 3, 0.8642941795013174
20, 1, 1.779706802310453
15, 5, -1.662558618541199
7, 8, 0.5297130563813521
13, 6, 0.7645068366316133
2, 9, -0.7630680282183565
17, 4, 0.1750565137110654
21, 0, -0.5273007455334865
3, 9, -0.6207008613368681
11, 7, -0.2176195851384763
8, 8, -0.0857826237678217
4, 9, 0.6494093753509632
20, 2, 0.02532900778302457
14, 6, 0.001634001644588059
16, 5, 0.7324187687411992
19, 3, 1.222944565169935
21, 1, 1.217455900162697
12, 7, 0.3064890034797866
9, 8, -0.4570407621511354
5, 9, 1.840345807664173
-5, 10, -2.649741468284232
18, 4, 0.1694683986902992
-4, 10, -0.1176827983003224
-3, 10, -0.1868122008248427
22, 0, 0.07914036974212665
-2, 10, 0.197316936348523
-1, 10, 0.6197222660572483
15, 6, -1.080392948441033
6, 9, 1.16103978044967
17, 5, -0.4993072379791962
10, 8, 0.4875212104206701
0, 10, -0.2751093076568846
21, 2, 0.01497636810615555
20, 3, 0.5142820531892071
13, 7, -0.7129740340696272
22, 1, -0.5663392222402435
1, 10, 0.7560617836495998
19, 4, 0.2288659580410374
7, 9, -0.4221838842613354
2, 10, 0.0672170181221603
23, 0, 0.0354259732073343
11, 8, -0.9634114901249866
16, 6, 0.04126725256008278
18, 5, 0.1842617800685557
14, 7, 0.05897105929826936
3, 10, -0.04542872280342141
8, 9, -0.686180890711088
22, 2, 0.1647043837722588
21, 3, -0.005567744950575184
4, 10, -0.2430616622394776
23, 1, -0.7408113946703062
20, 4, -1.102963822345663
12, 8, 1.032102961531646
9, 9, -0.07110301260023821
17, 6, 0.1207838640386013
5, 10, -0.5450233130317876
-5, 11, 0.3989904833770408
15, 7, 0.3580881835213805
24, 0, 0.6639046114939969
-4, 11, 0.6932289883335102
19, 5, 0.04079620371527143
-3, 11, -0.2974094466074953
-2, 11, -1.538281356200649
13, 8, 0.02637653933948297
23, 2, 0.3750290083520331
22, 3, -0.5781729567350858
10, 9, 1.016379844427739
-1, 11, -0.7238436357978096
6, 10, 0.1595921131660113
24, 1, 0.4209764118873818
21, 4, -0.08036808075103874
0, 11, 0.0683060201538874
18, 6, -0.2003943071322023
16, 7, 0.1225483393715875
1, 11, 0.5293264742120083
7, 10, 0.09497875424193696
25, 0, 3.259987190163371
20, 5, -2.857521269862821
11, 9, 1.704203142922866
14, 8, 0.06160899542808313
2, 11, 0.1637553878520762
23, 3, -0.120581357964976
24, 2, 0.003790148630554534
8, 10, 0.01318631113280639
3, 11, -0.4853203440584581
22, 4, 0.3271627760922635
17, 7, -0.3546139214774361
25, 1, 1.418652224974244
19, 6, -1.302622264291847
12, 9, -0.7341678179789896
15, 8, -1.037559614184627
4, 11, 1.108795111172911
21, 5, -0.6091848370048414
9, 10, 0.6104301825515006
26, 0, -0.05584006238514213
-6, 12, -0.3193830880294767
5, 11, -1.525204832540992
-5, 12, 1.809517402590407
-4, 12, -0.5118954967617318
13, 9, -0.1899613083759856
24, 3, 0.4698041581151345
-3, 12, -0.4190272705304939
25, 2, 1.014318858234999
18, 7, -1.433891697092899
20, 6, -0.07606008361343446
10, 10, -0.1284820212232833
-2, 12, 0.2545313435065321
23, 4, 0.9948176027484711
16, 8, -0.07424825120059392
26, 1, -0.305882071953782
6, 11, 0.1807815549726183
-1, 12, 0.8187197109688773
22, 5, 0.5005279979645672
0, 12, 0.2742096837506249
14, 9, -1.093162406699305
27, 0, -0.6563731471625345
11, 10, -0.1958375672795606
7, 11, 0.8416030143988832
1, 12, -0.6977767307726244
19, 7, 0.7534934634340287
25, 3, -0.08942878993595807
17, 8, 0.3649165627221496
21, 6, 0.9930141317895795
26, 2, -0.09221944519516032
2, 12, 0.1370419290209561
24, 4, -0.6573060105638205
8, 11, 0.5993432332311445
27, 1, 0.3084314691215315
12, 10, -0.2181498680203862
