d = 19, symClass = D, r = 16.59929124526635, D = 16, Y = 0.1232745769405038
max of |f(z) - f(z^*)| for 100 points = 1.664446358518035e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -4.590772206825022e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -2.030493828630853e-14, 
confident_r = 16.59929124526635
1, 0, 1
2, 0, 0.5182895686399631
0, 1, -0.6362748677728607
1, 1, -0.02702127665547863
3, 0, -0.4371443347185733
2, 1, -0.1055953502580121
4, 0, -0.7313759230390047
3, 1, 0.6950456532852571
-1, 2, -0.1753988590833937
0, 2, -0.3297746267543996
1, 2, -0.6320907092693719
5, 0, -0.1530593304401063
4, 1, -0.03724925484115923
2, 2, -0.01400484582184882
5, 1, 0.2576505092769273
3, 2, -0.2232645908148832
6, 0, -0.2265673486747119
-1, 3, -0.8896640462830266
4, 2, -0.05472896853551131
0, 3, 0.2781439537707896
6, 1, 0.2269245969567036
7, 0, -0.1029072610211824
1, 3, -0.8956324401945907
5, 2, 0.6863663124517126
2, 3, -0.5519909774060279
7, 1, 0.03725976245956153
3, 3, 0.01181219800681563
8, 0, -0.8973540803054202
6, 2, 0.3602349118262307
4, 3, 0.9619925645246196
-2, 4, -0.09090739901427718
8, 1, -0.2640132061264872
-1, 4, 0.2697198484721547
0, 4, 0.4653561187239026
9, 0, -0.8089048306235024
7, 2, 0.06518547542428599
5, 3, -0.9429168599682202
1, 4, 0.05843669768789189
2, 4, -0.3276060210485592
9, 1, 0.1116018858708794
6, 3, 0.04616040913792461
10, 0, -0.07932905435025817
8, 2, -0.01930590022384387
3, 4, -0.07616692139765838
4, 4, 0.0197627111556056
10, 1, 0.1673164219787689
7, 3, 0.6370504429430537
9, 2, 0.1970111004343547
-2, 5, -0.2345731422056221
11, 0, -0.6760314331739817
-1, 5, -0.3016678108338381
5, 4, -0.04998627583976313
0, 5, 0.7336626730101392
1, 5, -1.315449049846808
8, 3, 0.004739501096352637
11, 1, -1.419244143314865
2, 5, 0.6286350071794303
10, 2, 0.1335375713131971
6, 4, -0.1157157084660197
12, 0, 0.31971684130602
3, 5, -0.4458583854798424
9, 3, -0.3038352697043996
7, 4, -1.158914195030298
12, 1, 0.1183077809904943
4, 5, -0.08414798513742798
11, 2, 0.06863937737215096
13, 0, -1.203271690484704
-3, 6, 0.07667461756440888
-2, 6, -0.4611035947824857
10, 3, 0.3070007141411577
5, 5, 0.004135858512523259
-1, 6, -0.3049876693005829
8, 4, 0.07722989676353879
0, 6, 0.1441591098197219
13, 1, 0.4822715302307177
1, 6, -0.6290587086387466
12, 2, 0.1176126514704379
6, 5, 0.03605935786296571
14, 0, -0.05333575992458345
2, 6, -0.464196951088474
9, 4, 0.6204519863098319
11, 3, 0.1329689209626609
3, 6, 0.2763148725850215
7, 5, 0.01852130395955826
14, 1, 0.4897069853449986
13, 2, 0.6424347614769861
10, 4, 0.3557365000094792
4, 6, -0.2860911655729608
15, 0, 0.06690901917756144
12, 3, 0.01628330072622313
8, 5, 0.939070079256052
-3, 7, -0.3250106674992126
5, 6, 0.9317932330718051
-2, 7, -1.220566068917807
-1, 7, -0.4794958664475445
14, 2, 0.01931134621282323
15, 1, 0.5828633524252831
11, 4, 0.5568734724905268
0, 7, 0.06547730389914329
9, 5, -1.261951826896498
6, 6, 0.00612213900966979
13, 3, 0.3274078296698817
1, 7, -0.1939161499895298
16, 0, 0.2662866638401744
2, 7, -0.009794116607699185
7, 6, -0.3018517274930133
12, 4, -0.5083396562257172
15, 2, 0.7918689689716737
10, 5, 0.01616235360815165
3, 7, -0.7840022727479746
16, 1, 0.6231502383165601
14, 3, -0.7085551695217271
17, 0, 0.03376963369529446
4, 7, -0.06759271339392045
8, 6, 0.4985907113022293
13, 4, 0.05695275961176256
11, 5, -0.008873042961249142
-4, 8, 0.1282825024617023
5, 7, -0.8196470179383811
-3, 8, 0.7722321170728417
16, 2, -0.1368352907191938
-2, 8, 0.1397929839169897
17, 1, 0.1074767691158157
-1, 8, -0.2695951516834377
15, 3, -0.1126304604678623
9, 6, 0.09759885101798085
0, 8, 0.5709638487918662
6, 7, -0.1219102145971368
18, 0, -0.4192469357347915
12, 5, -0.4699661453936531
1, 8, 0.4577025607650916
14, 4, 0.03378495193923292
10, 6, -0.4887039726162801
2, 8, 0.03028713083738471
17, 2, 0.0456215783262954
7, 7, 0.02980196222536968
18, 1, 1.08707422041373
16, 3, -0.3235815267473164
3, 8, -0.6997552248694543
13, 5, -0.1426880655959524
19, 0, -0.9692352402322627
15, 4, -1.026285540346053
8, 7, -0.1978978432367176
11, 6, -0.4375642046596616
4, 8, 0.4622959259362254
18, 2, 0.05784209328739671
19, 1, -0.1294937642392391
17, 3, -0.2137381576054092
5, 8, 0.1593247660629382
-4, 9, 0.1766451695739251
-3, 9, 0.388911597635403
9, 7, 0.8524180956025887
14, 5, -0.6501069428325744
-2, 9, -0.2285568570867756
12, 6, 0.02392445854038094
-1, 9, -1.360895425254211
20, 0, 0.1119439090803428
16, 4, 0.02724320814199212
6, 8, -0.03947652083577851
0, 9, 0.5146858141458673
10, 7, 1.076393815939967
1, 9, -1.159345575452523
19, 2, -0.1846682800158833
18, 3, -0.099198801967922
20, 1, -0.6630260351569578
15, 5, -0.1063832223171774
7, 8, 0.6112461698260614
13, 6, 0.3420438302641199
2, 9, -0.3440574429631222
17, 4, 0.1108679892430899
21, 0, 0.04498532615691102
3, 9, 0.3915206472213246
11, 7, -1.157020129443632
8, 8, 0.02424765286177946
4, 9, 0.3018087278978744
20, 2, 0.08671835617397285
14, 6, 0.3301765992747701
16, 5, 1.027329647865528
19, 3, -0.9091535138204946
21, 1, 0.2652855827060321
12, 7, 0.1786951694736093
9, 8, 0.009193603685270869
5, 9, 0.006533476801078568
-5, 10, 0.0268464319312769
18, 4, 0.102108798261284
-4, 10, -0.1215768126882591
-3, 10, -0.5827137174717283
22, 0, -0.3503800398867531
-2, 10, -0.1563512795495555
-1, 10, 0.2168134918440762
15, 6, -0.3000411450299853
6, 9, 0.2412997285886349
17, 5, 0.2885283138889154
10, 8, -0.02590736534292872
0, 10, 0.3802497103217407
21, 2, -0.3996399625739331
20, 3, -0.5415665301797254
13, 7, 0.6384927258617658
22, 1, 0.1525236369322062
1, 10, -0.20451217138525
19, 4, -1.218336516380212
7, 9, 1.170412151784646
2, 10, -0.6817835206129684
23, 0, 0.3006642885059946
11, 8, -0.5015869590167114
16, 6, 0.002456433978769029
18, 5, 0.08015247269632474
14, 7, 0.01086652827163192
3, 10, 0.1089967697532977
8, 9, 0.006975670338730024
22, 2, -0.7355794348334348
21, 3, -0.01628789407219918
4, 10, 0.3258149667029969
23, 1, -0.3890194801225728
20, 4, -0.1884393790438918
12, 8, 0.1632903461891565
9, 9, 0.02185764121624849
17, 6, 1.520576848911107
5, 10, 0.0967473807381154
-5, 11, 0.3224248599897465
15, 7, -0.2753350441652378
24, 0, 0.392273252442176
-4, 11, 0.1765416540380728
19, 5, -0.4835641928865406
-3, 11, 0.480041403355774
-2, 11, 0.1369871197083621
13, 8, 0.2400923496705268
23, 2, 0.329910895754623
22, 3, -0.0314049056747544
10, 9, 0.02824683732465775
-1, 11, -0.2789532610820337
6, 10, -0.231083750284884
24, 1, 0.06117887468247871
21, 4, 0.3227084182167616
0, 11, 0.4301418107531009
18, 6, -0.1574746508726955
16, 7, -0.0134503287912188
