d = 19, symClass = D, r = 19.69382348721303, D = 16, Y = 0.1309949840992335
max of |f(z) - f(z^*)| for 100 points = 2.964784667769393e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -2.560174294785611e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 4.352074256530614e-14, 
confident_r = 19.693823487
1, 0, 1
2, 0, 1.218737424572426
0, 1, -0.9619639595137212
1, 1, 0.13800791735619
3, 0, -1.083787195194285
2, 1, 0.1643710180710445
4, 0, 0.4853209100531117
3, 1, 0.336019085475573
-1, 2, 0.4178203924035774
0, 2, -1.17238147854899
1, 2, -1.226263339882478
5, 0, 0.9253746594031725
4, 1, -0.07462534059683842
2, 2, 0.1681954137692437
5, 1, -0.1327586426242141
3, 2, -0.132758642624145
6, 0, -1.320852015055535
-1, 3, 1.443400192803852
4, 2, 0.2003251112382739
0, 3, 1.042564221559179
6, 1, -1.226270050566284
7, 0, 0.01904618525293304
1, 3, -0.9809538147470979
5, 2, -0.1581189953729393
2, 3, -0.1581189953729145
7, 1, -0.05500556778659108
3, 3, -0.1495712136661032
8, 0, -0.6272586685632759
6, 2, 0.4095190348396708
4, 3, -0.1175705526716352
-2, 4, 0.5092133489717982
8, 1, 0.02268450187766224
-1, 4, 0.02268450187775469
0, 4, -0.4668612242695128
9, 0, 0.1745946844668263
7, 2, -0.1155763347320145
5, 3, -0.3232382499362962
1, 4, -0.3232382499362064
2, 4, -1.494493024695854
9, 1, -0.4019281590420297
6, 3, -0.1781432046464988
10, 0, 1.127788729165464
8, 2, -0.09094869540684412
3, 4, -0.7527853583834917
4, 4, 0.06697812804585984
10, 1, 1.17962113783983
7, 3, 1.179621137839753
9, 2, 0.0463732941784785
-2, 5, 0.04637329417842491
11, 0, 0.02701783158170599
-1, 5, -0.9729821684185556
5, 4, 1.033750847634313
0, 5, 0.07178688812066999
1, 5, -1.257699186650555
8, 3, 0.05766252218459739
11, 1, 0.8055961852223361
2, 5, -1.223723187545172
10, 2, -0.161797926201478
6, 4, -0.1617979262015093
12, 0, -0.5259845878755837
3, 5, 0.4675605785884919
9, 3, -0.3641731821793305
7, 4, -0.2342797272089741
12, 1, -0.1692340496673631
4, 5, -0.1692340496674589
11, 2, -0.1101876528603997
13, 0, 0.5725632262899956
-3, 6, -0.4528283911781542
-2, 6, 1.759125833604874
10, 3, -0.01029888783785771
5, 5, 0.1277090295179325
-1, 6, -0.01029888783781611
8, 4, 0.0797726920765623
0, 6, 1.270612034334226
13, 1, 0.05523179917089988
1, 6, 0.05523179917096471
12, 2, -1.494501203257193
6, 5, 0.6146191081448477
14, 0, 0.02321229876299518
2, 6, -1.195525125809086
9, 4, -0.2832511500372147
11, 3, 1.084771003663568
3, 6, 1.32900850570064
7, 5, 0.06867756327034059
14, 1, -1.388498964632296
13, 2, -1.38849896463235
10, 4, -0.192705537196796
4, 6, -0.1927055371967486
15, 0, -1.002909206618392
12, 3, 0.08087798857585352
8, 5, -0.5266468418886194
-3, 7, -0.5420603508118066
5, 6, 1.179627593275655
-2, 7, 1.179627593275566
-1, 7, -1.771991923070963
14, 2, -0.06703734402178907
15, 1, 0.943642215734071
11, 4, 0.943642215733554
0, 7, -0.01832174377895034
9, 5, 0.8610353146288859
6, 6, -0.1822880357334499
13, 3, -0.201562153599638
1, 7, -0.2015621535996773
16, 0, -1.249784524318557
2, 7, -0.6856094477926709
7, 6, -1.161375827883333
12, 4, 0.1630770883582787
15, 2, -0.01226624320783853
10, 5, 0.1521047748632714
3, 7, -0.01226624320789185
16, 1, -0.2962741152331779
14, 3, 1.405419306596541
17, 0, 0.1129088258038275
4, 7, -0.887091174196268
8, 6, -0.1432876325686058
13, 4, 0.1992006545203661
11, 5, 0.1992006545202413
-4, 8, 0.2027769730798937
5, 7, 0.0529133737832714
-3, 8, 0.05291337378334517
16, 2, 0.02764645139612426
-2, 8, 0.02764645139603527
17, 1, -1.179084632201666
-1, 8, -1.347033400329457
15, 3, 0.1438821169274399
9, 6, 0.1438821169274727
0, 8, 0.6034002324502972
6, 7, 0.1403956261485256
18, 0, 0.2127850760911906
12, 5, -0.1692349757947848
1, 8, -0.1692349757949353
14, 4, -0.1408572045327754
10, 6, -0.3939425522505313
2, 8, -0.3939425522504122
17, 2, -0.2733873103507724
7, 7, -0.1353793929953652
18, 1, 0.09628042804825346
16, 3, 0.4046213886447875
3, 8, 0.556639717212805
13, 5, -0.4527219235347544
19, 0, -0.8254261196915778
15, 4, 0.1130986343701927
8, 7, 0.1130986343702753
11, 6, -0.373387519358535
4, 8, -0.5951312400765137
18, 2, -0.4898448894140329
19, 1, -0.02182167324584558
17, 3, -0.02182167324580887
5, 8, -0.02182167324583993
-4, 9, -0.02182167324592531
-3, 9, -1.56433864650165
9, 7, 0.9245820940683001
14, 5, -0.4120478860195607
-2, 9, -0.4120478860195748
12, 6, -0.2171097904358131
-1, 9, -1.627917498381072
20, 0, 0.4491036718415687
16, 4, -0.03621723821145517
6, 8, -0.9174476889319045
0, 9, -0.1679537939796923
10, 7, 0.11118026858487
1, 9, 0.1111802685848268
19, 2, 1.194197001964296
18, 3, 1.329015778653791
20, 1, -0.02507553870064079
15, 5, 0.3109435467748125
7, 8, -0.02507553870067716
13, 6, -0.007591203853288126
2, 9, -0.007591203853215064
17, 4, -0.5123578298598888
21, 0, -0.02064201169431198
3, 9, 1.063145183499627
11, 7, -0.844419385786679
8, 8, -0.08656666249205307
4, 9, -0.2228969577359641
20, 2, 1.437648427502054
14, 6, 1.437648427501953
16, 5, -1.245781210291778
19, 3, 0.05805376396845908
21, 1, 0.9063899162445758
12, 7, 0.2372531591752939
9, 8, 0.2372531591750974
5, 9, -0.03117998909132658
-5, 10, 0.3866404033121417
18, 4, 0.05651686911602542
-4, 10, 0.05651686911567993
-3, 10, -0.2686664167289856
22, 0, 0.03292764247918532
-2, 10, -1.185809782092893
-1, 10, -0.2862371852553834
15, 6, 0.1713673425025116
6, 9, 0.1713673425025426
17, 5, 0.268710007022304
10, 8, 1.259870845695237
0, 10, 0.08748936714614897
21, 2, 0.1600974171007312
20, 3, 0.7241523840143204
13, 7, 0.7241523840145528
22, 1, -0.01622566711654026
1, 10, -0.01622566711666039
19, 4, -0.2015632566416884
7, 9, -0.2015632566416563
2, 10, -1.532805067625235
23, 0, 1.503721778739681
11, 8, 0.5037217787396867
16, 6, 0.07027547378154024
18, 5, -0.1612403772107558
14, 7, 0.003130640860446158
3, 10, -0.1612403772107006
8, 9, 1.256364640684829
22, 2, 0.9818102200231056
21, 3, 0.05961433003142592
4, 10, -1.49139724597812
23, 1, -0.6914425345554606
20, 4, -0.0644305452557483
12, 8, -0.06443054525569115
9, 9, 0.02409544878464816
17, 6, -1.454336987666863
5, 10, -1.134753020482378
-5, 11, 0.09151031940015182
15, 7, 0.09151031940018088
24, 0, 0.6798149130633155
-4, 11, 1.389359006969244
19, 5, -0.0159504492520736
-3, 11, -0.01595044925199184
-2, 11, -0.2633812290396225
13, 8, 0.8918860444318921
23, 2, -0.04460943768346205
22, 3, -0.0446094376835791
10, 9, -0.04460943768341902
-1, 11, -0.04460943768363228
6, 10, 0.5698335753803606
24, 1, 0.935973779267858
21, 4, 0.9359737792678425
0, 11, -0.02599018024577864
18, 6, -0.4438314861474713
16, 7, -1.08869563512078
1, 11, -1.587454773790227
7, 10, 0.09253735385775175
25, 0, 0.005568941459255871
20, 5, -0.9944310585409494
11, 9, -0.9198057179440134
14, 8, -0.2855254713681737
2, 11, 1.10922667309554
23, 3, 1.610250916618613
24, 2, -0.2062518698416043
8, 10, -0.2062518698415768
3, 11, 0.4096901115307838
22, 4, -0.1342898162666943
17, 7, -0.3973029993778739
25, 1, 1.209861289467419
19, 6, 1.209861289467474
12, 9, 0.1274214595175238
15, 8, -0.05546926815620353
4, 11, -0.05546926815607287
21, 5, -0.009041321176571016
9, 10, -0.009041321176521426
26, 0, 0.6978042318135468
-6, 12, -0.5518789072375808
5, 11, -0.7749544961053318
-5, 12, -0.7749544961054184
-4, 12, 0.7005122951421261
13, 9, -1.337605995576353
24, 3, -0.02458517266484334
-3, 12, -0.02458517266395226
25, 2, 1.17717760284014
18, 7, 1.177177602840955
20, 6, -0.01255164004014228
10, 10, 0.1556437737313312
-2, 12, -0.01255164003671666
23, 4, -1.083175068885802
16, 8, -0.1031031459448718
26, 1, -0.1038903395267934
6, 11, -0.1038903395264171
-1, 12, 0.05824053520623957
22, 5, -1.081881960016114
0, 12, 0.505978216795649
14, 9, -1.485153353882287
27, 0, 0.8945637118200722
11, 10, 0.4850100127611962
7, 11, 0.485010012761203
1, 12, -0.7659953431674826
19, 7, 0.8836022484749463
25, 3, -0.4497764254914916
17, 8, -0.4497764254913769
21, 6, 0.1252601516499515
26, 2, 0.06731306067610628
2, 12, 0.06731306067608241
24, 4, -0.5951344969116926
8, 11, -0.481165304543077
27, 1, 0.763405857168851
12, 10, 0.7490593089533039
15, 9, 0.3503214762778208
3, 12, 0.3503214762778745
23, 5, -1.138598873532529
28, 0, 0.009243511960020809
4, 12, -0.4760773980930751
20, 7, 0.2253686540196784
9, 11, 0.2253686540196235
18, 8, -0.3452087771034352
22, 6, 1.322051019255664
26, 3, -0.4120501409372701
13, 10, -0.4120501409373533
27, 2, -0.01932519143783377
-6, 13, -0.01932519143780332
25, 4, 0.1627970565025737
16, 9, 0.1627970565025862
5, 12, 0.1627970565025831
-5, 13, 0.1627970565025995
-4, 13, 1.157896770535072
10, 11, 0.1059965508351747
-3, 13, 0.1059965508351071
28, 1, 0.6030820349527096
24, 5, -0.6905315968791835
-2, 13, -0.02581408221402379
