d = 19, symClass = D, r = 24.02103538856893, D = 16, Y = 0.1179471542909674
max of |f(z) - f(z^*)| for 100 points = 1.575450880864082e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 1.552535877635819e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -7.789324740770098e-13, 
confident_r = 24.02103539
1, 0, 1
2, 0, 1.410471219031092
0, 1, -1.305122071620424
1, 1, -1.225014480874141
3, 0, 1.896278992117023
2, 1, 1.904680734156269
4, 0, 0.9894290597154107
3, 1, 1.232362118873484
-1, 2, 0.3046226557609268
0, 2, -1.840837119344397
1, 2, 0.3840159296667229
5, 0, 1.703343621839018
4, 1, 0.7033436218378378
2, 2, -1.727847668168511
5, 1, 1.598793437048155
3, 2, 1.598793437049275
6, 0, 2.674646941635173
-1, 3, -0.2646795229278476
4, 2, 2.686497356969198
0, 3, -2.474875566565932
6, 1, -0.5309868902678571
7, 0, 1.50066047835383
1, 3, 0.5006604783529043
5, 2, -2.485840865540624
2, 3, -2.485840865541318
7, 1, -0.7831157947994523
3, 3, -2.32296922512074
8, 0, -0.0149100070249926
6, 2, 1.738211300097362
4, 3, -0.8542931667844951
-2, 4, 0.4296614886153663
8, 1, -2.3332614807851
-1, 4, -2.3332614807834
0, 4, -1.291325704139806
9, 0, 2.595874015942239
7, 2, 1.001054871349315
5, 3, -1.608383001576101
1, 4, -1.608383001579073
2, 4, 0.5416434164436055
9, 1, -0.3975697515514862
6, 3, 3.611806062865645
10, 0, 2.402517154726001
8, 2, 0.9920459356937861
3, 4, -0.1209953761367566
4, 4, -1.212064925948914
10, 1, -0.5011876656644506
7, 3, -0.5011876656606514
9, 2, -1.509661441305271
-2, 5, -1.509661441304445
11, 0, 3.627808699063638
-1, 5, 2.627808699060904
5, 4, 0.3871727868259724
0, 5, -0.917949284797321
1, 5, -1.699488993417418
8, 3, -0.3731671645062873
11, 1, 0.1569273902432741
2, 5, -0.3030709377831196
10, 2, 2.255052128133696
6, 4, 2.255052128134761
12, 0, 1.876233540133011
3, 5, -0.4670054267779782
9, 3, 2.336902396703083
7, 4, -0.3884563272169933
12, 1, -0.4704250747285401
4, 5, -0.4704250747295279
11, 2, 0.5469226131773398
13, 0, -0.1556185189346262
-3, 6, 0.5776495426431655
-2, 6, -0.3733228493580107
10, 3, -0.861606121783655
5, 5, -2.086620602657908
-1, 6, -0.8616061217818932
8, 4, 1.884546467853089
0, 6, -3.490740757325717
13, 1, 2.347256385325294
1, 6, 2.347256385323424
12, 2, -0.7489417264029327
6, 5, -0.7154813772244842
14, 0, 2.116638414256001
2, 6, 0.7061671952251616
9, 4, 0.1938781718767662
11, 3, 0.208881576912216
3, 6, 0.728201340064607
7, 5, 0.580208903611488
14, 1, 0.3454390872806641
13, 2, 0.3454390872778484
10, 4, -3.506206995938215
4, 6, -3.506206995940905
15, 0, 3.230014726451252
12, 3, 1.33373573433436
8, 5, 1.435431203749483
-3, 7, -0.5024298673782228
5, 6, 0.6930027102279122
-2, 7, 0.6930027102287785
-1, 7, 0.1585085795987872
14, 2, -1.104562289732603
15, 1, -0.6534230406900842
11, 4, -0.6534230406901324
0, 7, -1.958545112311125
9, 5, -0.6997320443452663
6, 6, -3.276481234730056
13, 3, 0.7314277428445929
1, 7, 0.7314277428448649
16, 0, -1.010459195499344
2, 7, -1.047256742720319
7, 6, 1.336530087605019
12, 4, 1.219334892507318
15, 2, 1.339645046006425
10, 5, 3.244325780162572
3, 7, 1.339645046009244
16, 1, -1.320588001585644
14, 3, 1.452170903514198
17, 0, 1.518716392032156
4, 7, 0.5187163920500004
8, 6, -1.204955924365618
13, 4, 0.3242362483775349
11, 5, 0.324236248378508
-4, 8, 0.3014025078605777
5, 7, 1.022061708425929
-3, 8, 1.022061708427078
16, 2, -3.290998165121562
